n370 g714
n305 g319
n463 g318
n454 g317
n412 g316
n400 g315
n308 g314
n283 g313
n141 g312
n130 g311
n389 g310
n561 g309
n100 g687
n393 g568
n516 g308
n124 g307
n468 g524
n253 g306
n213 g305
n530 g304
n165 g573
n524 g303
n391 g302
n295 g301
n313 g300
n151 g299
n93 g298
n3[16] g297
n423 g296
n529 g295
n3[2] g294
n320 g292
n17[9] g291
n268 g290
n577 g289
n137 g288
n16[15] g287
n3[14] g286
n210 g285
n29 g284
n125 g282
n290 g281
n3[42] g280
n566 g279
n3[18] g278
n17[11] g277
n545 g276
n458 g275
n504 g273
n3[59] g272
n192 g271
n169 g602
n63 g270
n533 g269
n574 g268
n432 g267
n232 g266
n16[23] g265
n31 g264
n275 g263
n508 g262
n69 g261
n183 g260
n15[11] g498
n180 g259
n36 g258
n234 g257
n523 g256
n6[0] g255
n177 g254
n520 g253
n216 g252
n195 g251
n496 g250
n546 g249
n118 g248
n317 g247
n244 g246
n5[6] g245
n3[38] g244
n17[13] g243
n10[11] g659
n277 g242
n385 g241
n445 g240
n443 g239
n128 g593
n321 g238
n5[7] g237
n475 g236
n84 g235
n11[1] g234
n265 g232
n3[3] g231
n3[34] g229
n173 g228
n543 g625
n160 g227
n263 g226
n467 g224
n4[1] g223
n3[35] g222
n358 g221
n3[27] g220
n24 g219
n4[0] g218
n92 g217
n378 g216
n231 g215
n208 g214
n42 g213
n256 g212
n261 g210
n82 g209
n143 g208
n3[22] g207
n563 g206
n17[19] g205
n286 g204
n379 g233
n264 g202
n17[1] g201
n182 g199
n131 g198
n175 g197
n133 g195
n10[7] g194
n51 g193
n79 g192
n230 g191
n525 g190
n278 g189
n303 g188
n61 g283
n46 g187
n106 g186
n37 g185
n451 g184
n21 g183
n219 g182
n459 g181
n3[43] g180
n22 g179
n199 g178
n329 g177
n17[4] g176
n415 g175
n339 g174
n206 g173
n374 g172
n145 g171
n209 g170
n15[14] g410
n58 g401
n75 g169
n109 g653
n371 g168
n3[13] g167
n113 g166
n6[32] g165
n526 g164
n398 g163
n242 g376
n399 g162
n509 g161
n281 g160
n85 g506
n181 g159
n483 g158
n438 g157
n559 g156
n78 g155
n15[2] g154
n72 g153
n65 g152
n87 g151
n350 g150
n10[12] g635
n376 g464
n99 g427
n35 g149
n17[10] g148
n108 g147
n236 g146
n4[2] g145
n184 g144
n86 g143
n252 g142
n357 g141
n366 g140
n564 g139
n388 g138
n309 g137
n365 g136
n453 g135
n517 g134
n156 g133
n17[16] g132
n6[56] g556
n8[2] g131
n5[5] g375
n248 g130
n203 g129
n119 g128
n498 g200
n237 g127
n3[0] g126
n15[13] g125
n77 g476
n57 g124
n435 g123
n201 g122
n246 g121
n146 g118
n492 g117
n257 g116
n462 g115
n3[49] g114
n576 g396
n336 g113
n50 g629
n110 g112
n3[53] g111
n372 g110
n314 g109
n567 g107
n470 g106
n405 g105
n3[62] g104
n267 g103
n416 g102
n369 g101
n3[15] g100
n255 g99
n114 g98
n3[20] g97
n60 g96
n3[21] g95
n359 g94
n477 g93
n484 g92
n324 g91
n3[8] g90
n510 g89
n144 g88
n6[16] g87
n518 g86
n548 g211
n10[5] g85
n28 g84
n200 g83
n6[48] g82
n481 g81
n12[3] g80
n424 g79
n380 g78
n413 g77
n3[23] g711
n455 g708
n351 g76
n70 g75
n40 g74
n3[41] g73
n15[8] g72
n271 g339
n218 g71
n161 g70
n107 g69
n115 g68
n10[14] g67
n8[1] g66
n384 g65
n428 g572
n90 g64
n5[4] g63
n554 g62
n251 g61
n294 g60
n544 g59
n120 g58
n17[15] g57
n501 g56
n186 g55
n528 g54
n243 g53
n259 g52
n15[0] g51
n323 g50
n419 g49
n174 g48
n262 g47
n98 g274
n191 g46
n465 g45
n3[5] g44
n562 g43
n332 g42
n377 g41
n157 g40
n204 g39
n26 g38
n472 g37
n497 g36
n301 g35
n39 g34
n553 g33
n41 g32
n134 g31
n162 g30
n9[0] g108
n10[15] g29
n6[8] g651
n10[2] g28
n10[9] g27
n306 g26
n466 g25
n3[7] g24
n14[0] g23
n32 g22
n112 g21
n572 g20
n296 g19
n6[24] g18
n239 g17
n3[61] g16
n158 g15
n3[30] g14
n11[2] g13
n117 g12
n364 g225
n344 g11
n48 g10
n360 g9
n565 g8
n333 g7
n538 g6
n16[7] g5
n328 g4
n23 g3
n15[15] g2
n101 g1
n302 g0
n2[127] n2[127]
n2[126] n2[126]
n2[125] n2[125]
n2[124] n2[124]
n2[123] n2[123]
n225 g696
n2[122] n2[122]
n2[121] n2[121]
n2[120] n2[120]
n2[119] n2[119]
n2[118] n2[118]
n2[117] n2[117]
n2[116] n2[116]
n2[115] n2[115]
n2[114] n2[114]
n2[113] n2[113]
n2[112] n2[112]
n2[111] n2[111]
n2[110] n2[110]
n2[109] n2[109]
n2[108] n2[108]
n2[107] n2[107]
n2[106] n2[106]
n2[105] n2[105]
n2[104] n2[104]
n2[103] n2[103]
n2[102] n2[102]
n2[101] n2[101]
n2[100] n2[100]
n2[99] n2[99]
n2[98] n2[98]
n2[97] n2[97]
n2[96] n2[96]
n2[95] n2[95]
n2[94] n2[94]
n135 g119
n2[93] n2[93]
n2[92] n2[92]
n2[91] n2[91]
n2[90] n2[90]
n2[89] n2[89]
n2[88] n2[88]
n2[87] n2[87]
n2[86] n2[86]
n2[85] n2[85]
n2[84] n2[84]
n2[83] n2[83]
n2[82] n2[82]
n2[81] n2[81]
n2[80] n2[80]
n2[79] n2[79]
n2[78] n2[78]
n2[77] n2[77]
n59 g196
n2[76] n2[76]
n2[75] n2[75]
n2[74] n2[74]
n2[73] n2[73]
n2[72] n2[72]
n2[71] n2[71]
n2[70] n2[70]
n2[69] n2[69]
n2[68] n2[68]
n2[67] n2[67]
n2[66] n2[66]
n2[65] n2[65]
n2[64] n2[64]
n2[63] n2[63]
n2[62] n2[62]
n2[61] n2[61]
n2[59] n2[59]
n2[58] n2[58]
n2[57] n2[57]
n2[56] n2[56]
n2[55] n2[55]
n2[54] n2[54]
n2[53] n2[53]
n2[52] n2[52]
n448 g120
n2[51] n2[51]
n2[50] n2[50]
n2[49] n2[49]
n2[48] n2[48]
n2[47] n2[47]
n80 g341
n2[46] n2[46]
n2[45] n2[45]
n152 g230
n6[40] g203
n2[44] n2[44]
n2[43] n2[43]
n2[42] n2[42]
n2[41] n2[41]
n2[40] n2[40]
n2[39] n2[39]
n2[38] n2[38]
n3[46] g293
n2[37] n2[37]
n2[36] n2[36]
n2[35] n2[35]
n2[34] n2[34]
n2[33] n2[33]
n2[32] n2[32]
n2[31] n2[31]
n2[30] n2[30]
n2[29] n2[29]
n2[28] n2[28]
n2[27] n2[27]
n2[26] n2[26]
n2[25] n2[25]
n2[24] n2[24]
n2[23] n2[23]
n2[22] n2[22]
n2[21] n2[21]
n2[20] n2[20]
n2[19] n2[19]
n2[18] n2[18]
n2[17] n2[17]
n2[16] n2[16]
n2[15] n2[15]
n2[14] n2[14]
n2[13] n2[13]
n2[12] n2[12]
n2[11] n2[11]
n2[10] n2[10]
n2[9] n2[9]
n2[8] n2[8]
n2[7] n2[7]
n2[6] n2[6]
n2[5] n2[5]
n2[4] n2[4]
n2[3] n2[3]
n2[2] n2[2]
n2[1] n2[1]
n2[0] n2[0]
n19 g477
n2[60] n2[60]
n1 n1
n0 n0
