n10[51] g3372
n735 g3004
n737 g3002
n738 g3001
n739 g3000
n741 g2998
n742 g2997
n746 g2993
n751 g2988
n754 g2985
n757 g2982
n758 g2981
n759 g2980
n760 g2979
n763 g2976
n797 g2973
n766 g2972
n768 g2970
n770 g2968
n1179 g3119
n773 g2965
n774 g2964
n775 g2963
n2787 g3072
n776 g2962
n777 g2961
n778 g2960
n779 g2959
n784 g2954
n785 g2953
n786 g2952
n10[56] g3352
n772 g2966
n787 g2951
n788 g2950
n789 g2949
n791 g2947
n792 g2946
n795 g2943
n799 g2940
n800 g2939
n801 g2938
n802 g2937
n804 g2935
n806 g2933
n807 g2932
n811 g2928
n812 g2927
n813 g2926
n816 g2923
n817 g2922
n818 g2921
n823 g2916
n824 g2915
n826 g2913
n827 g2912
n828 g2911
n829 g2910
n830 g2909
n831 g2908
n835 g2904
n837 g2902
n749 g2990
n838 g2901
n840 g2899
n842 g2897
n843 g2896
n846 g2893
n848 g2891
n850 g2889
n851 g2888
n852 g2887
n853 g2886
n854 g2885
n855 g2884
n858 g2881
n859 g2880
n860 g2879
n862 g2875
n864 g2873
n2812 g2872
n2814 g2868
n868 g2867
n2816 g2865
n870 g2864
n871 g2863
n880 g2849
n1148 g3165
n881 g2848
n2828 g2847
n882 g2846
n883 g2845
n884 g2843
n885 g2842
n887 g2839
n888 g2837
n2836 g2835
n890 g2834
n891 g2833
n2840 g2829
n1049 g3274
n897 g2824
n899 g2821
n900 g2819
n2848 g2817
n902 g2816
n2793 g3054
n903 g2815
n2850 g2814
n905 g2812
n2854 g2808
n909 g2806
n2856 g2805
n911 g2803
n2858 g2802
n912 g2801
n913 g2800
n2860 g2799
n914 g2798
n2862 g2796
n916 g2795
n2864 g2793
n918 g2792
n2866 g2790
n920 g2789
n921 g2788
n922 g2786
n1220 g3058
n923 g2785
n2872 g2781
n2874 g2778
n928 g2777
n929 g2776
n2876 g2775
n930 g2774
n932 g2771
n2882 g2766
n936 g2765
n1215 g3065
n937 g2764
n886 g2840
n2884 g2763
n939 g2761
n2886 g2760
n940 g2759
n2890 g2754
n944 g2753
n2892 g2751
n946 g2750
n947 g2749
n2894 g2748
n948 g2747
n1125 g3197
n2896 g2745
n951 g2743
n953 g2740
n938 g2762
n954 g2738
n955 g2737
n2904 g2733
n798 g2941
n958 g2732
n959 g2731
n2906 g2730
n961 g2728
n2910 g2724
n1078 g3246
n964 g2723
n965 g2722
n2912 g2721
n966 g2720
n755 g2984
n967 g2719
n968 g2717
n969 g2716
n2820 g2859
n2916 g2715
n970 g2714
n2918 g2712
n973 g2710
n974 g2708
n975 g2707
n2922 g2706
n976 g2705
n977 g2704
n2924 g2703
n978 g2702
n980 g2699
n1145 g3169
n981 g2698
n982 g2696
n986 g2690
n904 g2813
n2934 g2689
n400 g2688
n402 g2686
n403 g2685
n406 g2682
n408 g2680
n1109 g3215
n410 g2678
n2774 g3111
n412 g2676
n2783 g3084
n413 g2675
n415 g2673
n962 g2726
n416 g2672
n417 g2671
n943 g2755
n407 g2681
n418 g2670
n419 g2669
n421 g2667
n422 g2666
n423 g2665
n1059 g3264
n424 g2664
n409 g2679
n429 g2659
n431 g2657
n432 g2656
n433 g2655
n435 g2653
n436 g2652
n438 g2650
n439 g2649
n998 g3326
n442 g2646
n443 g2645
n935 g2767
n444 g2644
n445 g2643
n449 g2639
n453 g2635
n454 g2634
n457 g2631
n458 g2630
n459 g2629
n460 g2628
n462 g2626
n463 g2625
n465 g2623
n466 g2622
n469 g2619
n470 g2618
n794 g2944
n471 g2617
n473 g2615
n2908 g2727
n474 g2614
n475 g2613
n476 g2612
n477 g2611
n478 g2610
n510 g2609
n479 g2608
n481 g2606
n482 g2605
n483 g2604
n484 g2603
n485 g2602
n486 g2601
n487 g2600
n488 g2599
n489 g2598
n1054 g3269
n490 g2597
n491 g2596
n492 g2595
n496 g2591
n499 g2588
n500 g2587
n501 g2586
n504 g2583
n506 g2581
n2754 g3174
n509 g2578
n512 g2576
n513 g2575
n515 g2573
n518 g2570
n521 g2567
n523 g2565
n528 g2560
n2753 g3178
n530 g2558
n531 g2557
n771 g2967
n532 g2556
n533 g2555
n535 g2553
n539 g2549
n540 g2548
n541 g2547
n542 g2546
n546 g2542
n547 g2541
n548 g2540
n549 g2539
n550 g2538
n551 g2537
n554 g2534
n420 g2668
n555 g2533
n1171 g3131
n556 g2532
n557 g2531
n558 g2530
n562 g2526
n563 g2525
n564 g2524
n565 g2523
n957 g2734
n567 g2521
n568 g2520
n570 g2518
n573 g2515
n1136 g3182
n574 g2514
n575 g2513
n578 g2510
n579 g2509
n733 g3006
n581 g2507
n582 g2506
n586 g2502
n587 g2501
n590 g2498
n591 g2497
n592 g2496
n593 g2495
n595 g2493
n1074 g3250
n596 g2492
n597 g2491
n933 g2770
n520 g2568
n598 g2490
n600 g2488
n1159 g3149
n601 g2487
n602 g2486
n2489 g2483
n605 g2482
n2490 g2481
n1040 g3283
n983 g2695
n606 g2480
n608 g2478
n609 g2476
n2493 g2471
n613 g2470
n2494 g2468
n615 g2467
n616 g2466
n14[0] g3345
n2495 g2465
n617 g2464
n618 g2463
n2496 g2462
n620 g2460
n2497 g2459
n621 g2458
n622 g2457
n2498 g2456
n623 g2455
n2500 g2450
n996 g3328
n627 g2449
n2501 g2447
n2805 g3018
n630 g2445
n2502 g2444
n631 g2443
n633 g2440
n634 g2439
n637 g2434
n638 g2433
n2506 g2432
n640 g2430
n2507 g2429
n2508 g2426
n643 g2425
n644 g2424
n646 g2421
n2511 g2417
n651 g2413
n652 g2412
n2776 g3105
n2513 g2411
n654 g2409
n2514 g2408
n655 g2407
n2778 g3099
n656 g2406
n2515 g2405
n752 g2987
n2516 g2402
n660 g2400
n661 g2398
n662 g2397
n663 g2395
n666 g2391
n668 g2388
n2522 g2384
n671 g2383
n672 g2382
n2523 g2381
n673 g2380
n674 g2379
n2524 g2378
n675 g2377
n677 g2374
n1024 g3300
n1039 g3284
n2526 g2372
n679 g2371
n680 g2370
n2527 g2369
n682 g2367
n2528 g2366
n683 g2365
n2529 g2363
n685 g2362
n686 g2361
n687 g2359
n765 g2974
n2531 g2357
n690 g2355
n2532 g2354
n694 g2349
n695 g2347
n696 g2346
n1251 g3011
n2535 g2345
n697 g2344
n698 g2343
n2760 g3153
n607 g2479
n700 g2340
n2537 g2339
n701 g2338
n704 g2334
n2539 g2333
n705 g2332
n706 g2331
n2540 g2330
n707 g2329
n2541 g2327
n709 g2326
n710 g2325
n688 g2358
n2542 g2324
n711 g2323
n712 g2322
n1210 g3073
n2543 g2321
n713 g2320
n714 g2319
n715 g2317
n717 g2314
n718 g2313
n2546 g2312
n719 g2311
n2547 g2309
n721 g2308
n781 g2957
n722 g2307
n2548 g2306
n723 g2305
n580 g2508
n2549 g2303
n725 g2302
n2550 g2300
n2552 g2295
n15 g2294
n17 g2292
n20 g2289
n22 g2287
n23 g2286
n25 g2284
n28 g2281
n2521 g2387
n29 g2280
n30 g2279
n31 g2278
n908 g2807
n689 g2356
n33 g2276
n34 g2275
n36 g2273
n764 g2975
n38 g2271
n39 g2270
n40 g2269
n41 g2268
n2810 g2876
n42 g2267
n43 g2266
n1091 g3233
n446 g2642
n44 g2265
n45 g2264
n48 g2261
n51 g2258
n52 g2257
n54 g2255
n60 g2249
n62 g2247
n65 g2244
n66 g2243
n67 g2242
n68 g2241
n69 g2240
n71 g2238
n994 g3330
n73 g2236
n624 g2454
n74 g2235
n58 g2251
n75 g2234
n76 g2233
n653 g2410
n57 g2252
n77 g2232
n78 g2231
n79 g2230
n82 g2227
n83 g2226
n84 g2225
n87 g2222
n88 g2221
n428 g2660
n90 g2219
n1106 g3218
n783 g2955
n91 g2218
n92 g2217
n93 g2216
n94 g2215
n95 g2214
n97 g2212
n101 g2208
n102 g2207
n103 g2206
n1003 g3321
n106 g2203
n107 g2202
n108 g2201
n50 g2259
n110 g2199
n111 g2198
n112 g2197
n113 g2196
n114 g2195
n115 g2194
n649 g2416
n116 g2193
n117 g2192
n118 g2191
n119 g2190
n120 g2189
n121 g2188
n123 g2186
n124 g2185
n126 g2183
n127 g2182
n571 g2517
n129 g2180
n130 g2179
n131 g2178
n132 g2177
n133 g2176
n134 g2175
n1105 g3219
n136 g2173
n137 g2172
n138 g2171
n144 g2165
n2761 g3150
n145 g2164
n147 g2162
n148 g2161
n153 g2156
n154 g2155
n214 g2154
n157 g2151
n159 g2149
n161 g2147
n163 g2145
n164 g2144
n524 g2564
n165 g2143
n63 g2246
n169 g2139
n171 g2137
n173 g2135
n174 g2134
n176 g2132
n177 g2131
n178 g2130
n179 g2129
n180 g2128
n85 g2224
n181 g2127
n182 g2126
n183 g2125
n184 g2124
n185 g2123
n186 g2122
n879 g2851
n187 g2121
n189 g2119
n89 g2220
n190 g2118
n98 g2211
n191 g2117
n193 g2115
n196 g2112
n197 g2111
n681 g2368
n198 g2110
n1162 g3145
n199 g2109
n1005 g3319
n200 g2108
n201 g2107
n202 g2106
n203 g2105
n629 g2446
n204 g2104
n205 g2103
n206 g2102
n208 g2100
n209 g2099
n210 g2098
n211 g2097
n212 g2096
n213 g2095
n215 g2094
n216 g2093
n219 g2090
n220 g2089
n221 g2088
n222 g2087
n223 g2086
n691 g2353
n227 g2082
n228 g2081
n229 g2080
n230 g2079
n231 g2078
n233 g2076
n234 g2075
n235 g2074
n960 g2729
n727 g2299
n236 g2073
n238 g2071
n2832 g2841
n239 g2070
n699 g2341
n240 g2069
n241 g2068
n243 g2066
n10[58] g3354
n245 g2064
n246 g2063
n247 g2062
n249 g2060
n863 g2874
n876 g2855
n250 g2059
n251 g2058
n252 g2057
n963 g2725
n468 g2620
n253 g2056
n255 g2054
n258 g2051
n259 g2050
n260 g2049
n261 g2048
n265 g2044
n266 g2043
n267 g2042
n1100 g3224
n269 g2040
n270 g2039
n218 g2091
n271 g2038
n1053 g3270
n2900 g2739
n273 g2036
n274 g2035
n2617 g2033
n2618 g2031
n277 g2030
n2619 g2029
n857 g2882
n279 g2027
n2620 g2026
n280 g2025
n281 g2024
n1245 g3020
n2621 g2023
n283 g2021
n2622 g2020
n284 g2019
n2623 g2017
n286 g2016
n952 g2741
n287 g2015
n2624 g2014
n290 g2010
n440 g2648
n291 g2009
n293 g2006
n2627 g2005
n294 g2004
n295 g2003
n2628 g2002
n2503 g2441
n296 g2001
n2629 g1999
n298 g1998
n645 g2422
n170 g2138
n2630 g1996
n301 g1994
n2631 g1993
n302 g1992
n2632 g1990
n527 g2561
n305 g1988
n991 g3333
n306 g1986
n308 g1983
n309 g1982
n2635 g1981
n313 g1976
n2637 g1975
n314 g1974
n315 g1973
n316 g1971
n317 g1970
n411 g2677
n2639 g1969
n318 g1968
n319 g1967
n2640 g1966
n320 g1965
n128 g2181
n321 g1964
n2641 g1963
n322 g1962
n323 g1961
n2642 g1960
n325 g1958
n327 g1955
n2644 g1954
n2645 g1951
n330 g1950
n872 g2861
n331 g1949
n708 g2328
n2646 g1948
n332 g1947
n333 g1946
n2647 g1945
n334 g1944
n335 g1943
n2648 g1942
n1021 g3303
n2649 g1939
n338 g1938
n339 g1937
n2650 g1936
n340 g1935
n2651 g1933
n343 g1931
n692 g2352
n2652 g1930
n2653 g1927
n346 g1926
n27 g2282
n2654 g1924
n348 g1923
n2655 g1921
n350 g1920
n2656 g1918
n352 g1917
n354 g1914
n2658 g1912
n356 g1911
n357 g1910
n2660 g1906
n814 g2925
n360 g1905
n10[61] g3355
n664 g2394
n361 g1904
n2661 g1903
n362 g1902
n363 g1901
n2662 g1900
n344 g1929
n364 g1899
n2935 g3338
n2663 g1897
n366 g1896
n367 g1895
n2664 g1894
n1133 g3186
n369 g1892
n2665 g1891
n370 g1890
n109 g2200
n371 g1889
n2666 g1888
n372 g1887
n373 g1886
n2667 g1885
n703 g2335
n2668 g1882
n35 g2274
n99 g2210
n376 g1881
n377 g1880
n1020 g3304
n2669 g1879
n264 g2045
n379 g1877
n32 g2277
n2670 g1876
n2671 g1873
n382 g1872
n383 g1871
n2672 g1870
n385 g1868
n2673 g1867
n877 g2854
n387 g1865
n2504 g2438
n2674 g1864
n388 g1863
n2533 g2351
n389 g1862
n2675 g1861
n390 g1860
n391 g1859
n2676 g1858
n942 g2756
n516 g2572
n100 g2209
n393 g1856
n2677 g1854
n395 g1853
n767 g2971
n2657 g1915
n396 g1852
n397 g1851
n398 g1849
n242 g2067
n399 g1848
n2679 g1847
n2680 g1846
n1262 g1845
n441 g2647
n1264 g1843
n1265 g1842
n1266 g1841
n1267 g1840
n1269 g1838
n1270 g1837
n1272 g1835
n1273 g1834
n1274 g1833
n1275 g1832
n1276 g1831
n1277 g1830
n1278 g1829
n1280 g1827
n1281 g1826
n2834 g2838
n1282 g1825
n2842 g2826
n1283 g1824
n874 g2858
n1285 g1822
n1286 g1821
n1287 g1820
n1288 g1819
n1290 g1817
n1296 g1811
n1012 g3312
n1298 g1809
n1299 g1808
n1293 g1814
n1300 g1807
n1301 g1806
n1302 g1805
n1303 g1804
n1304 g1803
n1305 g1802
n793 g2945
n1306 g1801
n1307 g1800
n1308 g1799
n1309 g1798
n1311 g1796
n1313 g1794
n1150 g3163
n1314 g1793
n1317 g1790
n1318 g1789
n1196 g3094
n1319 g1788
n146 g2163
n1323 g1784
n1325 g1782
n1326 g1781
n1327 g1780
n1328 g1779
n2638 g1972
n1329 g1778
n1330 g1777
n1332 g1775
n1063 g3261
n1334 g1773
n450 g2638
n224 g2085
n1336 g1771
n1337 g1770
n1338 g1769
n1341 g1766
n1205 g3080
n822 g2917
n1344 g1763
n105 g2204
n1345 g1762
n1346 g1761
n1351 g1756
n769 g2969
n1352 g1755
n1353 g1754
n1355 g1752
n1356 g1751
n1358 g1749
n625 g2452
n386 g1866
n1360 g1747
n1361 g1746
n1363 g1744
n303 g1991
n1364 g1743
n1263 g1844
n1366 g1741
n1367 g1740
n1241 g3026
n1369 g1738
n1370 g1737
n1140 g3176
n2830 g2844
n1371 g1736
n1372 g1735
n1373 g1734
n495 g2592
n1375 g1732
n1376 g1731
n1377 g1730
n1380 g1727
n2534 g2348
n1382 g1725
n805 g2934
n639 g2431
n1383 g1724
n1384 g1723
n1385 g1722
n1386 g1721
n1387 g1720
n1388 g1719
n1392 g1715
n1393 g1714
n1394 g1713
n1395 g1712
n1396 g1711
n1397 g1710
n1398 g1709
n1400 g1707
n1401 g1706
n2888 g2757
n2551 g2297
n1402 g1705
n1237 g3032
n1359 g1748
n1403 g1704
n1404 g1703
n1405 g1702
n1406 g1701
n1407 g1700
n1409 g1698
n1410 g1697
n1413 g1694
n1415 g1692
n2796 g3045
n1417 g1690
n1420 g1687
n1421 g1686
n1422 g1685
n1423 g1684
n1424 g1683
n275 g2034
n1426 g1681
n156 g2152
n1427 g1680
n1428 g1679
n1429 g1678
n1098 g3226
n1430 g1677
n519 g2569
n1432 g1675
n1434 g1673
n1435 g1672
n1437 g1670
n1438 g1669
n2746 g3200
n1440 g1667
n162 g2146
n1442 g1665
n665 g2392
n1443 g1664
n1444 g1663
n1448 g1659
n1449 g1658
n1451 g1656
n1452 g1655
n1453 g1654
n1454 g1653
n2822 g2856
n1455 g1652
n2767 g3132
n1458 g1649
n1459 g1648
n517 g2571
n1460 g1647
n1461 g1646
n1462 g1645
n1464 g1643
n452 g2636
n1467 g1640
n1468 g1639
n1469 g1638
n1471 g1636
n1101 g3223
n1472 g1635
n1474 g1633
n553 g2535
n1450 g1657
n1475 g1632
n401 g2687
n1477 g1630
n1479 g1628
n2807 g3012
n1481 g1626
n1485 g1622
n1350 g1757
n1488 g1619
n2525 g2375
n1489 g1618
n1490 g1617
n1496 g1616
n1491 g1615
n658 g2403
n1492 g1614
n1494 g1612
n753 g2986
n1495 g1611
n1501 g1610
n1497 g1609
n1498 g1608
n1521 g1605
n1522 g1604
n1502 g1603
n1503 g1602
n878 g2852
n472 g2616
n1504 g1601
n125 g2184
n1505 g1600
n1506 g1599
n1507 g1598
n1509 g1596
n307 g1985
n1510 g1595
n1511 g1594
n1513 g1592
n2659 g1909
n1514 g1591
n559 g2529
n1515 g1590
n892 g2831
n1379 g1728
n1516 g1589
n1447 g1660
n1517 g1588
n96 g2213
n1519 g1586
n1463 g1644
n1520 g1585
n1523 g1584
n1528 g1582
n1529 g1581
n1530 g1580
n1531 g1579
n1534 g1576
n1535 g1575
n1038 g3285
n1537 g1573
n49 g2260
n1540 g1570
n1541 g1569
n1542 g1568
n576 g2512
n336 g1941
n1524 g1567
n985 g2692
n1526 g1565
n1543 g1564
n1544 g1563
n834 g2905
n1545 g1562
n1546 g1561
n1547 g1560
n349 g1922
n1548 g1559
n1549 g1558
n1550 g1557
n502 g2585
n1551 g1556
n1552 g1555
n1476 g1631
n1553 g1554
n1554 g1553
n1556 g1551
n1558 g1549
n1559 g1548
n1560 g1547
n1562 g1545
n1295 g1812
n1564 g1543
n1566 g1541
n1568 g1539
n1569 g1538
n1570 g1537
n1571 g1536
n1572 g1535
n1365 g1742
n1574 g1533
n893 g2830
n1576 g1531
n37 g2272
n1578 g1529
n1579 g1528
n1580 g1527
n467 g2621
n1581 g1526
n1582 g1525
n1583 g1524
n1584 g1523
n2799 g3036
n2930 g2694
n1586 g1521
n1587 g1520
n628 g2448
n1589 g1518
n1590 g1517
n1591 g1516
n1592 g1515
n1593 g1514
n1594 g1513
n1595 g1512
n1597 g1510
n151 g2158
n1598 g1509
n2802 g3027
n1600 g1507
n55 g2254
n1603 g1504
n1606 g1501
n1129 g3192
n1607 g1500
n1609 g1498
n572 g2516
n1611 g1496
n583 g2505
n278 g2028
n1614 g1493
n1615 g1492
n1617 g1490
n1618 g1489
n1619 g1488
n1620 g1487
n1621 g1486
n1348 g1759
n1622 g1485
n1624 g1483
n1625 g1482
n1628 g1479
n1630 g1477
n2792 g3057
n934 g2768
n1631 g1476
n619 g2461
n1634 g1473
n1635 g1472
n747 g2992
n511 g2577
n1636 g1471
n1637 g1470
n1638 g1469
n657 g2404
n1362 g1745
n1639 g1468
n1641 g1466
n1642 g1465
n1643 g1464
n1743 g1462
n1644 g1461
n1647 g1458
n1648 g1457
n1649 g1456
n1650 g1455
n1651 g1454
n1652 g1453
n14[10] g3373
n1653 g1452
n1654 g1451
n736 g3003
n1655 g1450
n1656 g1449
n1657 g1448
n1659 g1446
n1660 g1445
n1661 g1444
n1662 g1443
n2868 g2787
n1663 g1442
n1664 g1441
n1667 g1438
n2838 g2832
n1668 g1437
n1670 g1435
n1672 g1433
n1673 g1432
n1151 g3161
n1674 g1431
n1675 g1430
n1676 g1429
n2797 g3042
n56 g2253
n1677 g1428
n910 g2804
n1678 g1427
n1680 g1425
n1681 g1424
n1683 g1422
n610 g2475
n1685 g1420
n1686 g1419
n1688 g1417
n1689 g1416
n1690 g1415
n1692 g1413
n299 g1997
n1693 g1412
n1694 g1411
n1695 g1410
n1696 g1409
n1698 g1407
n1699 g1406
n1390 g1717
n1701 g1404
n2625 g2011
n1702 g1403
n1703 g1402
n924 g2783
n1704 g1401
n1705 g1400
n1706 g1399
n1707 g1398
n288 g2013
n1708 g1397
n782 g2956
n494 g2593
n254 g2055
n1709 g1396
n1710 g1395
n217 g2092
n1711 g1394
n1712 g1393
n1022 g3302
n632 g2442
n1713 g1392
n1714 g1391
n1715 g1390
n1716 g1389
n1717 g1388
n1719 g1386
n1720 g1385
n1691 g1414
n1722 g1383
n1261 g1463
n1723 g1382
n1724 g1381
n1725 g1380
n1322 g1785
n1726 g1379
n1727 g1378
n1728 g1377
n809 g2930
n832 g2907
n1729 g1376
n1730 g1375
n1733 g1372
n866 g2870
n1734 g1371
n1735 g1370
n155 g2153
n1736 g1369
n1737 g1368
n1738 g1367
n1739 g1366
n1740 g1365
n1741 g1364
n232 g2077
n1258 g1363
n728 g2298
n1256 g1362
n1260 g1360
n158 g2150
n1742 g1358
n867 g2869
n1834 g1357
n1836 g1355
n1838 g1353
n1839 g1352
n2517 g2399
n1482 g1625
n1840 g1351
n1842 g1349
n1843 g1348
n1845 g1346
n1846 g1345
n1847 g1344
n1744 g1340
n1745 g1339
n1746 g1338
n1747 g1337
n1748 g1336
n1536 g1574
n1749 g1335
n1753 g1331
n724 g2304
n1755 g1329
n1756 g1328
n1757 g1327
n1759 g1325
n1760 g1324
n861 g2877
n150 g2159
n1761 g1323
n1762 g1322
n1763 g1321
n1764 g1320
n1766 g1318
n1533 g1577
n1767 g1317
n47 g2262
n1577 g1530
n1768 g1316
n526 g2562
n1770 g1314
n172 g2136
n1771 g1313
n1772 g1312
n1773 g1311
n856 g2883
n1774 g1310
n1776 g1308
n1777 g1307
n1340 g1767
n1778 g1306
n1779 g1305
n1781 g1303
n1782 g1302
n1783 g1301
n1784 g1300
n1785 g1299
n1786 g1298
n1198 g3091
n1787 g1297
n1788 g1296
n1844 g1347
n1789 g1295
n1791 g1293
n1792 g1292
n451 g2637
n1793 g1291
n915 g2797
n1794 g1290
n1795 g1289
n1192 g3100
n1796 g1288
n1797 g1287
n1798 g1286
n1799 g1285
n1800 g1284
n1349 g1758
n1801 g1283
n1802 g1282
n1803 g1281
n1804 g1280
n716 g2316
n1805 g1279
n1807 g1277
n845 g2894
n1808 g1276
n405 g2683
n1809 g1275
n1483 g1624
n1810 g1274
n1633 g1474
n1812 g1272
n1813 g1271
n1814 g1270
n1815 g1269
n14[5] g3350
n1816 g1268
n1416 g1691
n1817 g1267
n1818 g1266
n1820 g1264
n326 g1956
n1821 g1263
n359 g1907
n1822 g1262
n1627 g1480
n1823 g1261
n175 g2133
n1824 g1260
n276 g2032
n1826 g1258
n381 g1874
n1827 g1257
n1026 g3298
n1829 g1255
n1830 g1254
n497 g2590
n1831 g1253
n1832 g1252
n1833 g1251
n956 g2735
n1731 g1374
n1851 g1250
n1853 g1248
n1856 g1245
n2518 g2396
n1857 g1244
n1858 g1243
n1859 g1242
n1077 g3247
n1860 g1241
n1224 g3052
n1861 g1240
n1862 g1239
n1863 g1238
n1864 g1237
n1865 g1236
n1866 g1235
n534 g2554
n1867 g1234
n1868 g1233
n1869 g1232
n1870 g1231
n1321 g1786
n1871 g1230
n1872 g1229
n104 g2205
n1873 g1228
n1874 g1227
n1721 g1384
n1875 g1226
n1876 g1225
n1878 g1223
n1879 g1222
n1880 g1221
n1881 g1220
n1152 g3160
n1882 g1219
n1883 g1218
n1885 g1216
n993 g3331
n1250 g3013
n1886 g1215
n1887 g1214
n1888 g1213
n1889 g1212
n1890 g1211
n2492 g2474
n1666 g1439
n1891 g1210
n1892 g1209
n1893 g1208
n2510 g2420
n1894 g1207
n1896 g1205
n355 g1913
n1897 g1204
n1898 g1203
n1899 g1202
n1900 g1201
n1901 g1200
n1902 g1199
n1903 g1198
n1904 g1197
n1069 g3255
n1905 g1196
n1906 g1195
n1907 g1194
n1909 g1192
n141 g2168
n1911 g1190
n990 g3334
n70 g2239
n1912 g1189
n1914 g1187
n1915 g1186
n1697 g1408
n1916 g1185
n1596 g1511
n1917 g1184
n1918 g1183
n1919 g1182
n1920 g1181
n1921 g1180
n1922 g1179
n430 g2658
n1925 g1176
n1926 g1175
n1929 g1172
n1930 g1171
n635 g2437
n1931 g1170
n1932 g1169
n676 g2376
n1933 g1168
n1935 g1166
n1936 g1165
n1938 g1163
n1939 g1162
n1940 g1161
n1941 g1160
n949 g2746
n1943 g1158
n1924 g1177
n1944 g1157
n244 g2065
n1945 g1156
n2764 g3141
n1949 g1152
n1950 g1151
n311 g1979
n1951 g1150
n1952 g1149
n1953 g1148
n1954 g1147
n1955 g1146
n1957 g1144
n1958 g1142
n1959 g1141
n1961 g1139
n226 g2083
n1963 g1137
n1848 g1343
n1964 g1136
n1965 g1135
n2928 g2697
n404 g2684
n1966 g1134
n1968 g1132
n1969 g1131
n1970 g1130
n1972 g1128
n1973 g1127
n1974 g1126
n1975 g1125
n2775 g3108
n1976 g1124
n1977 g1123
n1978 g1122
n86 g2223
n1979 g1121
n588 g2500
n1980 g1120
n1981 g1119
n1982 g1118
n1037 g3286
n1983 g1117
n1160 g3148
n1984 g1116
n1985 g1115
n1986 g1114
n1987 g1113
n1988 g1112
n1989 g1111
n1991 g1109
n1992 g1108
n1493 g1613
n1994 g1106
n1775 g1309
n1995 g1105
n1997 g1103
n1998 g1102
n2914 g2718
n1999 g1101
n2001 g1099
n2002 g1098
n2004 g1096
n2006 g1094
n2007 g1093
n552 g2536
n669 g2386
n2009 g1091
n1613 g1494
n2011 g1089
n2012 g1088
n2013 g1087
n2015 g1085
n2018 g1082
n1512 g1593
n2019 g1081
n2020 g1080
n2021 g1079
n2022 g1078
n1923 g1178
