n138 g677
n498 g277
n17[3] g276
n153 g275
n25[0] g274
n520 g273
n361 g272
n282 g271
n331 g270
n309 g269
n112 g268
n527 g300
n305 g267
n261 g266
n479 g265
n313 g264
n17[7] g263
n134 g262
n25[7] g261
n456 g260
n33[2] g259
n400 g258
n14[4] g257
n173 g256
n285 g255
n206 g254
n26[2] g253
n259 g252
n96 g251
n27[2] g250
n61 g249
n213 g248
n76 g247
n328 g246
n109 g586
n371 g245
n477 g244
n481 g243
n177 g242
n239 g241
n511 g240
n351 g521
n455 g239
n54 g238
n490 g237
n38[0] g236
n24[6] g235
n20[1] g234
n33[1] g233
n426 g232
n356 g231
n424 g230
n85 g627
n181 g229
n146 g228
n496 g227
n28[7] g226
n245 g225
n122 g223
n30[1] g222
n82 g221
n72 g220
n115 g219
n20[6] g218
n469 g217
n212 g216
n363 g215
n360 g214
n518 g213
n174 g212
n22[2] g211
n46[3] g210
n314 g209
n12[1] g208
n372 g207
n37[2] g206
n23[4] g205
n30[7] g204
n29[1] g203
n100 g336
n516 g224
n393 g202
n348 g201
n510 g200
n260 g199
n37[1] g197
n34[0] g196
n334 g195
n214 g194
n28[4] g193
n41[3] g192
n528 g191
n30[14] g190
n137 g189
n10[3] g187
n176 g186
n199 g185
n454 g184
n508 g183
n306 g182
n310 g181
n190 g432
n89 g180
n340 g179
n19[4] g178
n44[2] g177
n459 g176
n369 g278
n22[7] g175
n486 g174
n353 g173
n215 g172
n325 g171
n18[6] g170
n30[13] g168
n359 g167
n18[7] g166
n44[3] g165
n375 g164
n179 g163
n47[2] g162
n333 g161
n27[0] g160
n368 g159
n408 g158
n474 g157
n23[2] g156
n30[10] g155
n39[0] g678
n57 g345
n77 g154
n397 g153
n291 g416
n440 g152
n142 g466
n140 g151
n398 g150
n506 g149
n223 g148
n448 g147
n201 g146
n234 g145
n29[7] g144
n380 g143
n401 g142
n136 g141
n145 g140
n447 g139
n270 g138
n288 g137
n438 g136
n383 g135
n126 g134
n414 g133
n403 g132
n434 g131
n47[0] g130
n460 g129
n14[5] g128
n410 g127
n106 g509
n23[1] g126
n19[0] g125
n161 g124
n182 g123
n432 g122
n74 g121
n47[3] g120
n165 g524
n524 g119
n51 g118
n275 g117
n34[2] g116
n446 g114
n27[6] g113
n18[2] g112
n113 g111
n78 g110
n404 g109
n124 g108
n405 g107
n118 g106
n472 g105
n17[6] g104
n535 g103
n322 g102
n277 g101
n21[3] g100
n192 g99
n22[6] g98
n419 g97
n35[1] g96
n450 g169
n224 g95
n68 g94
n326 g93
n28[1] g92
n55 g91
n367 g90
n50 g188
n110 g89
n60 g88
n468 g299
n253 g87
n28[5] g86
n280 g85
n293 g84
n17[2] g83
n407 g343
n418 g82
n362 g81
n154 g80
n480 g79
n180 g78
n436 g77
n279 g76
n230 g75
n399 g115
n242 g74
n339 g73
n10[2] g72
n19[3] g596
n20[3] g71
n233 g70
n217 g69
n453 g68
n32[3] g67
n422 g66
n28[0] g65
n494 g349
n254 g64
n36[3] g63
n30[6] g62
n73 g61
n295 g60
n191 g659
n98 g59
n219 g58
n127 g57
n149 g56
n25[1] g55
n184 g54
n308 g53
n29[4] g52
n330 g51
n139 g50
n157 g49
n29[6] g48
n318 g47
n175 g46
n26[5] g624
n10[4] g45
n26[0] g44
n505 g43
n247 g42
n299 g41
n387 g40
n471 g39
n18[1] g38
n56 g37
n36[0] g36
n20[2] g35
n47[7] g198
n66 g34
n34[3] g33
n23[7] g32
n83 g31
n457 g30
n264 g331
n379 g29
n75 g515
n58 g28
n19[1] g27
n341 g26
n286 g25
n462 g24
n529 g23
n272 g22
n193 g21
n159 g20
n262 g19
n421 g18
n94 g17
n491 g16
n391 g15
n95 g14
n303 g13
n160 g12
n148 g11
n495 g10
n240 g9
n350 g8
n346 g7
n52 g6
n39[2] g665
n24[7] g5
n274 g4
n30[0] g628
n290 g3
n451 g2
n133 g1
n147 g0
n9[1] n9[1]
n9[0] n9[0]
n8[5] n8[5]
n8[4] n8[4]
n8[3] n8[3]
n8[2] n8[2]
n8[1] n8[1]
n8[0] n8[0]
n7[3] n7[3]
n7[2] n7[2]
n7[1] n7[1]
n7[0] n7[0]
n6[3] n6[3]
n6[2] n6[2]
n6[1] n6[1]
n6[0] n6[0]
n5[3] n5[3]
n37[0] g328
n5[2] n5[2]
n5[1] n5[1]
n5[0] n5[0]
n4[7] n4[7]
n4[6] n4[6]
n4[5] n4[5]
n4[4] n4[4]
n4[3] n4[3]
n4[2] n4[2]
n4[1] n4[1]
n4[0] n4[0]
n3[7] n3[7]
n3[6] n3[6]
n3[5] n3[5]
n3[4] n3[4]
n3[3] n3[3]
n3[2] n3[2]
n3[1] n3[1]
n3[0] n3[0]
n2[15] n2[15]
n2[14] n2[14]
n18[0] g661
n2[13] n2[13]
n2[12] n2[12]
n2[11] n2[11]
n2[10] n2[10]
n2[9] n2[9]
n2[8] n2[8]
n2[7] n2[7]
n2[6] n2[6]
n2[5] n2[5]
n2[4] n2[4]
n2[3] n2[3]
n2[2] n2[2]
n2[1] n2[1]
n2[0] n2[0]
n1 n1
n0 n0
