n796 g953
n180 g748
n739 g746
n182 g745
n183 g744
n741 g743
n184 g742
n743 g741
n82 g740
n83 g739
n84 g738
n181 g747
n85 g737
n86 g736
n87 g735
n88 g734
n190 g877
n89 g733
n97 g730
n92 g729
n93 g728
n94 g727
n95 g726
n96 g725
n191 g876
n98 g724
n101 g721
n102 g720
n103 g719
n104 g718
n105 g717
n107 g715
n108 g713
n745 g712
n11[6] g918
n746 g709
n111 g708
n112 g707
n113 g705
n114 g704
n748 g703
n115 g702
n838 g901
n749 g700
n117 g699
n118 g698
n750 g697
n119 g696
n120 g695
n751 g694
n121 g693
n122 g692
n123 g691
n752 g690
n124 g689
n125 g688
n126 g687
n753 g686
n127 g685
n754 g683
n755 g681
n15 g680
n16 g679
n17 g678
n18 g677
n20 g675
n21 g674
n22 g673
n23 g672
n25 g670
n26 g669
n27 g668
n28 g667
n29 g666
n30 g665
n31 g664
n32 g663
n34 g661
n36 g659
n37 g658
n39 g656
n40 g655
n41 g654
n47 g653
n42 g652
n43 g651
n45 g649
n48 g647
n49 g646
n110 g710
n50 g645
n51 g644
n52 g643
n53 g642
n54 g641
n55 g640
n56 g639
n768 g636
n59 g635
n769 g634
n60 g633
n46 g648
n61 g632
n770 g631
n62 g630
n169 g764
n63 g629
n64 g628
n65 g626
n66 g625
n67 g623
n68 g622
n773 g621
n69 g620
n70 g619
n774 g618
n71 g617
n72 g616
n775 g615
n73 g614
n776 g612
n58 g637
n75 g611
n76 g610
n777 g609
n78 g607
n778 g606
n79 g605
n80 g604
n779 g603
n81 g602
n780 g601
n251 g600
n252 g599
n255 g596
n256 g595
n257 g594
n258 g593
n259 g592
n260 g591
n261 g590
n262 g589
n263 g588
n265 g586
n266 g585
n267 g584
n269 g582
n270 g581
n218 g849
n271 g580
n273 g578
n274 g577
n275 g576
n276 g575
n279 g572
n280 g571
n281 g570
n282 g569
n283 g568
n284 g567
n285 g566
n286 g565
n287 g564
n288 g563
n289 g562
n290 g561
n292 g559
n293 g558
n294 g557
n295 g556
n296 g555
n297 g554
n298 g553
n299 g552
n300 g551
n301 g550
n302 g549
n303 g548
n304 g547
n306 g545
n307 g544
n308 g543
n309 g542
n310 g541
n311 g540
n312 g539
n313 g538
n314 g537
n315 g536
n316 g535
n317 g534
n318 g533
n319 g532
n320 g531
n128 g684
n321 g530
n322 g529
n323 g528
n325 g526
n326 g525
n327 g524
n328 g523
n329 g522
n330 g521
n331 g520
n332 g519
n333 g518
n334 g517
n335 g516
n337 g514
n338 g513
n339 g512
n340 g511
n341 g510
n342 g509
n343 g508
n345 g506
n346 g505
n348 g503
n349 g502
n350 g501
n352 g499
n354 g497
n355 g496
n356 g495
n357 g494
n344 g507
n364 g493
n358 g492
n359 g491
n814 g933
n360 g490
n362 g488
n363 g487
n368 g486
n370 g485
n109 g711
n371 g484
n365 g483
n366 g482
n367 g481
n369 g480
n374 g479
n372 g477
n373 g476
n375 g475
n264 g587
n379 g474
n377 g473
n378 g472
n384 g471
n385 g470
n387 g469
n389 g468
n391 g467
n395 g465
n380 g464
n381 g463
n382 g462
n383 g461
n388 g459
n390 g458
n392 g457
n400 g454
n401 g453
n403 g452
n405 g451
n411 g448
n397 g447
n398 g446
n242 g816
n399 g445
n402 g444
n404 g443
n406 g442
n408 g441
n410 g440
n412 g439
n435 g438
n436 g437
n437 g436
n438 g435
n439 g434
n291 g560
n440 g433
n441 g432
n442 g431
n443 g430
n444 g429
n445 g428
n44 g650
n446 g427
n447 g426
n448 g425
n413 g424
n414 g423
n415 g422
n416 g421
n417 g420
n407 g450
n418 g419
n419 g418
n421 g416
n422 g415
n423 g414
n424 g413
n425 g412
n426 g411
n347 g504
n427 g410
n90 g732
n428 g409
n409 g449
n429 g408
n430 g407
n431 g406
n432 g405
n433 g404
n434 g403
n449 g402
n474 g401
n475 g400
n476 g399
n477 g398
n478 g397
n479 g396
n480 g395
n481 g394
n482 g393
n483 g392
n484 g391
n485 g390
n224 g843
n450 g389
n451 g388
n452 g387
n453 g386
n454 g385
n456 g383
n457 g382
n458 g381
n459 g380
n460 g379
n461 g378
n462 g377
n463 g376
n464 g375
n465 g374
n466 g373
n467 g372
n253 g598
n468 g371
n469 g370
n470 g369
n794 g883
n471 g368
n472 g367
n473 g366
n526 g365
n486 g364
n487 g363
n488 g362
n489 g361
n490 g360
n491 g359
n492 g358
n493 g357
n495 g355
n496 g354
n497 g353
n499 g351
n500 g350
n501 g349
n502 g348
n503 g347
n504 g346
n506 g344
n507 g343
n508 g342
n509 g341
n510 g340
n747 g706
n511 g339
n512 g338
n513 g337
n514 g336
n515 g335
n100 g722
n393 g466
n516 g334
n517 g333
n518 g332
n519 g331
n521 g329
n522 g328
n523 g327
n165 g770
n524 g326
n525 g325
n566 g324
n305 g546
n527 g323
n528 g322
n529 g321
n530 g320
n531 g319
n771 g627
n532 g318
n533 g317
n534 g316
n535 g315
n536 g314
n537 g313
n538 g312
n539 g311
n540 g310
n541 g309
n542 g308
n160 g778
n543 g307
n544 g306
n545 g305
n546 g304
n547 g303
n549 g301
n550 g300
n551 g299
n553 g297
n554 g296
n420 g417
n555 g295
n556 g294
n557 g293
n558 g292
n559 g291
n560 g290
n562 g288
n563 g287
n564 g286
n565 g285
n567 g284
n568 g283
n569 g282
n570 g281
n129 g682
n571 g280
n572 g279
n573 g278
n574 g277
n575 g276
n336 g515
n576 g275
n577 g274
n578 g273
n579 g272
n580 g271
n733 g756
n581 g270
n582 g269
n278 g573
n583 g268
n584 g267
n585 g266
n586 g265
n587 g264
n588 g263
n590 g261
n591 g260
n592 g259
n593 g258
n594 g257
n595 g256
n596 g255
n597 g254
n520 g330
n598 g253
n599 g252
n600 g251
n601 g250
n602 g249
n603 g248
n604 g247
n605 g246
n606 g245
n608 g243
n609 g242
n610 g241
n24 g671
n611 g240
n505 g345
n612 g239
n613 g238
n324 g527
n614 g237
n615 g236
n616 g235
n617 g234
n618 g233
n619 g232
n620 g231
n621 g230
n622 g229
n623 g228
n74 g613
n624 g227
n386 g460
n625 g226
n626 g225
n627 g224
n628 g223
n204 g863
n629 g222
n11[2] g934
n630 g221
n631 g220
n632 g219
n633 g218
n634 g217
n635 g216
n636 g215
n637 g214
n638 g213
n805 g944
n639 g212
n640 g211
n641 g210
n394 g456
n642 g209
n643 g208
n644 g207
n170 g762
n645 g206
n646 g205
n647 g204
n116 g701
n649 g203
n648 g202
n650 g201
n651 g200
n652 g199
n57 g638
n77 g608
n653 g198
n654 g197
n14[2] g196
n14[1] g195
n14[0] g194
n13[2] g193
n272 g579
n13[1] g192
n13[0] g191
n7[12] g190
n268 g583
n7[10] g188
n7[9] g187
n7[8] g186
n7[6] g184
n7[5] g183
n744 g714
n7[4] g182
n7[3] g181
n7[2] g180
n7[1] g179
n7[0] g178
n99 g723
n35 g660
n376 g478
n10[12] g177
n277 g574
n10[11] g176
n10[10] g175
n10[9] g174
n10[8] g173
n10[7] g172
n10[6] g171
n548 g302
n10[5] g170
n10[4] g169
n10[3] g168
n10[1] g166
n10[0] g165
n8[12] g164
n237 g824
n498 g352
n8[11] g163
n8[10] g162
n8[9] g161
n8[8] g160
n8[7] g159
n8[6] g158
n8[5] g157
n8[4] g156
n8[3] g155
n8[2] g154
n8[1] g153
n8[0] g152
n9[12] g151
n9[11] g150
n9[10] g149
n9[9] g148
n9[8] g147
n9[7] g146
n9[6] g145
n9[5] g144
n9[4] g143
n9[3] g142
n9[2] g141
n9[1] g140
n655 g138
n656 g137
n657 g136
n658 g135
n659 g134
n660 g133
n661 g132
n662 g131
n663 g130
n12[5] g129
n106 g716
n12[10] g128
n12[2] g127
n12[3] g126
n12[8] g125
n12[4] g124
n7[11] g189
n12[7] g123
n666 g122
n667 g121
n668 g120
n552 g298
n669 g119
n361 g489
n664 g118
n665 g117
n12[9] g116
n12[6] g115
n12[11] g114
n12[1] g113
n396 g455
n767 g111
n793 g110
n742 g109
n765 g108
n766 g107
n760 g106
n786 g105
n254 g597
n494 g356
n782 g104
n784 g103
n785 g102
n772 g624
n787 g101
n91 g731
n783 g100
n790 g99
n791 g98
n792 g97
n720 g96
n781 g112
n722 g95
n724 g94
n726 g93
n728 g92
n730 g91
n732 g90
n734 g89
n670 g88
n671 g87
n672 g86
n673 g85
n674 g84
n675 g83
n676 g82
n677 g81
n678 g80
n679 g79
n680 g78
n736 g77
n738 g76
n740 g75
n788 g74
n789 g73
n756 g72
n757 g71
n758 g70
n759 g69
n761 g68
n762 g67
n763 g66
n38 g657
n764 g65
n198 g869
n681 g64
n682 g63
n683 g62
n684 g61
n685 g60
n686 g59
n687 g58
n688 g57
n33 g662
n689 g56
n690 g55
n227 g838
n691 g54
n692 g53
n693 g52
n6[0] g51
n4[12] g50
n9[0] g139
n6[12] g49
n5[0] g48
n5[12] g47
n4[0] g46
n6[1] g45
n561 g289
n6[2] g44
n6[3] g43
n6[4] g42
n815 g932
n4[1] g41
n6[5] g40
n6[6] g39
n6[7] g38
n10[2] g167
n6[8] g37
n7[7] g185
n4[2] g36
n6[9] g35
n353 g498
n6[10] g34
n6[11] g33
n4[3] g32
n4[7] g31
n5[1] g30
n5[2] g29
n4[11] g28
n4[4] g27
n5[4] g26
n248 g887
n5[5] g25
n5[6] g24
n5[7] g23
n4[8] g22
n5[8] g21
n5[9] g20
n5[10] g19
n844 g893
n5[11] g18
n4[5] g17
n4[6] g16
n4[9] g15
n4[10] g14
n5[3] g13
n694 g12
n695 g11
n696 g10
n697 g9
n698 g8
n240 g819
n699 g7
n607 g244
n700 g6
n701 g5
n351 g500
n455 g384
n702 g4
n703 g3
n704 g2
n705 g1
n706 g0
n3[12] n3[12]
n3[11] n3[11]
n589 g262
n3[10] n3[10]
n3[9] n3[9]
n3[8] n3[8]
n3[7] n3[7]
n3[6] n3[6]
n3[5] n3[5]
n3[4] n3[4]
n3[3] n3[3]
n3[2] n3[2]
n3[1] n3[1]
n3[0] n3[0]
n2[13] n2[13]
n2[12] n2[12]
n2[11] n2[11]
n2[10] n2[10]
n2[9] n2[9]
n2[8] n2[8]
n2[7] n2[7]
n2[6] n2[6]
n2[5] n2[5]
n2[4] n2[4]
n2[3] n2[3]
n2[2] n2[2]
n2[1] n2[1]
n2[0] n2[0]
n19 g676
n1 n1
n0 n0
