n9[0] g702
n6[16] g115
n4[10] g114
n7[8] g113
n111 g111
n5[0] g110
n365 g109
n506 g108
n161 g107
n543 g106
n5[4] g105
n382 g104
n376 g103
n13[9] g102
n8[1] g101
n264 g100
n223 g99
n14[2] g98
n74 g97
n71 g637
n501 g96
n140 g95
n10[13] g94
n559 g93
n198 g92
n281 g91
n502 g90
n237 g694
n4[13] g89
n412 g88
n13[13] g87
n176 g86
n37 g85
n307 g84
n562 g83
n323 g82
n519 g81
n10[2] g80
n123 g79
n9[6] g78
n510 g243
n104 g77
n334 g76
n30 g75
n145 g74
n9[3] g73
n302 g72
n7[6] g71
n291 g70
n432 g69
n416 g68
n52 g67
n113 g66
n418 g65
n253 g64
n91 g63
n68 g62
n410 g61
n491 g60
n10[15] g59
n371 g58
n289 g57
n398 g56
n11[3] g55
n120 g54
n7[11] g53
n304 g52
n10[1] g51
n434 g50
n411 g49
n5[3] g48
n535 g47
n86 g46
n124 g45
n220 g44
n378 g43
n426 g42
n427 g41
n544 g40
n440 g39
n185 g465
n489 g137
n370 g38
n14[5] g37
n473 g36
n435 g35
n73 g34
n384 g244
n8[6] g33
n81 g32
n13[6] g31
n364 g30
n114 g29
n51 g28
n8[5] g27
n38 g26
n155 g25
n8[0] g24
n309 g544
n225 g23
n10[7] g22
n266 g21
n269 g20
n170 g19
n573 g18
n247 g17
n199 g16
n445 g112
n325 g15
n4[18] g14
n101 g13
n10[12] g11
n385 g10
n539 g9
n476 g8
n152 g7
n513 g6
n251 g5
n7[9] g4
n352 g3
n471 g2
n6[14] g1
n294 g0
n3[7] n3[7]
n3[6] n3[6]
n3[5] n3[5]
n148 g632
n3[4] n3[4]
n3[3] n3[3]
n3[2] n3[2]
n3[1] n3[1]
n3[0] n3[0]
n2[63] n2[63]
n2[62] n2[62]
n2[61] n2[61]
n2[60] n2[60]
n2[59] n2[59]
n2[58] n2[58]
n2[57] n2[57]
n4[29] g328
n2[56] n2[56]
n2[55] n2[55]
n390 g12
n2[54] n2[54]
n2[53] n2[53]
n2[52] n2[52]
n2[51] n2[51]
n2[50] n2[50]
n2[49] n2[49]
n2[48] n2[48]
n2[47] n2[47]
n2[46] n2[46]
n2[45] n2[45]
n2[44] n2[44]
n2[43] n2[43]
n2[42] n2[42]
n2[41] n2[41]
n2[40] n2[40]
n2[39] n2[39]
n2[38] n2[38]
n2[37] n2[37]
n2[36] n2[36]
n2[35] n2[35]
n2[34] n2[34]
n2[33] n2[33]
n2[32] n2[32]
n2[31] n2[31]
n2[30] n2[30]
n509 g265
n2[29] n2[29]
n2[28] n2[28]
n2[27] n2[27]
n280 g221
n2[26] n2[26]
n2[25] n2[25]
n2[24] n2[24]
n153 g551
n2[23] n2[23]
n2[22] n2[22]
n518 g538
n2[21] n2[21]
n2[20] n2[20]
n2[19] n2[19]
n2[18] n2[18]
n2[17] n2[17]
n2[16] n2[16]
n2[15] n2[15]
n2[14] n2[14]
n2[13] n2[13]
n2[12] n2[12]
n2[11] n2[11]
n27 g396
n2[10] n2[10]
n2[9] n2[9]
n2[8] n2[8]
n2[7] n2[7]
n2[6] n2[6]
n2[5] n2[5]
n12[0] g448
n2[4] n2[4]
n2[3] n2[3]
n2[2] n2[2]
n2[1] n2[1]
n2[0] n2[0]
n1 n1
n0 n0
