g2869,g2869,not,n2573,n7[5]
g2866,g2866,not,n2576,n7[7]
g2864,g2864,not,n2578,n7[14]
g2861,g2861,not,n2581,n7[19]
g2860,g2860,not,n2582,n7[12]
g2859,g2859,not,n2583,n7[13]
g2858,g2858,not,n2584,n7[27]
g2857,g2857,not,n2585,n7[25]
g2773,g2773,nor,n49,n2[18],n2[82]
g2772,g2772,nor,n50,n2[41],n2[105]
g2770,g2770,nor,n52,n2[62],n2[126]
g2769,g2769,nor,n53,n2[28],n2[92]
g2766,g2766,nor,n56,n2[58],n2[122]
g2764,g2764,nor,n58,n2[46],n2[110]
g2763,g2763,nor,n59,n2[21],n2[85]
g2762,g2762,nor,n60,n2[7],n2[71]
g2760,g2760,nor,n62,n2[22],n2[86]
g2759,g2759,nor,n63,n2[53],n2[117]
g2758,g2758,nor,n64,n2[43],n2[107]
g2757,g2757,nor,n65,n2[26],n2[90]
g2756,g2756,nor,n66,n2[14],n2[78]
g2754,g2754,nor,n68,n2[27],n2[91]
g2753,g2753,nor,n69,n2[11],n2[75]
g2749,g2749,nor,n73,n2[31],n2[95]
g2746,g2746,nor,n76,n2[45],n2[109]
g2745,g2745,nor,n77,n2[0],n2[64]
g2744,g2744,xnor,n79,n2[63],n2[127]
g2743,g2743,xnor,n80,n2[29],n2[93]
g2741,g2741,xnor,n82,n2[28],n2[92]
g2737,g2737,xnor,n86,n2[47],n2[111]
g2735,g2735,xnor,n88,n2[31],n2[95]
g2733,g2733,xnor,n90,n2[54],n2[118]
g2732,g2732,xnor,n91,n2[24],n2[88]
g2729,g2729,xnor,n94,n2[7],n2[71]
g2728,g2728,xnor,n95,n2[62],n2[126]
g2727,g2727,xnor,n96,n2[1],n2[65]
g2726,g2726,xnor,n97,n2[56],n2[120]
g2724,g2724,xnor,n99,n2[40],n2[104]
g2722,g2722,xnor,n101,n2[49],n2[113]
g2721,g2721,xnor,n102,n2[3],n2[67]
g2720,g2720,xnor,n103,n2[59],n2[123]
g2718,g2718,xnor,n105,n2[34],n2[98]
g2717,g2717,xnor,n106,n2[16],n2[80]
g2715,g2715,xnor,n108,n2[57],n2[121]
g2714,g2714,xnor,n109,n2[35],n2[99]
g2713,g2713,xnor,n110,n2[48],n2[112]
g2712,g2712,xnor,n111,n2[36],n2[100]
g2708,g2708,xnor,n115,n2[10],n2[74]
g2707,g2707,xnor,n116,n2[61],n2[125]
g2706,g2706,xnor,n117,n2[11],n2[75]
g2705,g2705,xnor,n118,n2[12],n2[76]
g2704,g2704,xnor,n119,n2[38],n2[102]
g2698,g2698,xnor,n125,n2[58],n2[122]
g2697,g2697,xnor,n126,n2[52],n2[116]
g2696,g2696,xnor,n127,n2[17],n2[81]
g2694,g2694,xnor,n129,n2[41],n2[105]
g2693,g2693,xnor,n130,n2[18],n2[82]
g2692,g2692,xnor,n131,n2[53],n2[117]
g2690,g2690,xnor,n133,n2[20],n2[84]
g2689,g2689,xnor,n134,n2[42],n2[106]
g2688,g2688,xnor,n135,n2[21],n2[85]
g2687,g2687,xnor,n136,n2[55],n2[119]
g2686,g2686,xnor,n137,n2[22],n2[86]
g2685,g2685,xnor,n138,n2[43],n2[107]
g2684,g2684,xnor,n139,n2[6],n2[70]
g2682,g2682,xnor,n141,n2[2],n2[66]
g2681,g2681,nor,n2506,n78,n77
g2768,g2768,nor,n54,n2[35],n2[99]
g2679,g2679,xnor,n2507,n96,n78
g2678,g2678,nor,n143,n20,n142
g2676,g2676,nor,n145,n141,n144
g2673,g2673,not,n147,n146
g2672,g2672,nor,n148,n102,n147
g2844,g2844,or,n2598,n2579,n7[17]
g2670,g2670,nor,n149,n72,n148
g2669,g2669,nor,n150,n104,n149
g2666,g2666,nor,n152,n107,n151
g2665,g2665,xnor,n2511,n107,n151
g2659,g2659,xnor,n2513,n94,n155
g2658,g2658,nor,n157,n60,n156
g2654,g2654,nor,n160,n113,n159
g2653,g2653,xnor,n2515,n113,n159
g2651,g2651,nor,n162,n115,n161
g2650,g2650,xnor,n2516,n115,n161
g2649,g2649,nor,n163,n33,n162
g2648,g2648,nor,n164,n117,n163
g2647,g2647,xnor,n2517,n117,n163
g2645,g2645,nor,n166,n118,n165
g2644,g2644,xnor,n2518,n118,n165
g2643,g2643,nor,n167,n35,n166
g2641,g2641,xnor,n2519,n121,n167
g2639,g2639,nor,n170,n122,n169
g2636,g2636,nor,n172,n124,n171
g2631,g2631,nor,n175,n21,n174
g2629,g2629,xnor,n2523,n127,n175
g2627,g2627,nor,n178,n130,n177
g2622,g2622,nor,n181,n51,n180
g2621,g2621,nor,n182,n133,n181
g2620,g2620,xnor,n2526,n133,n181
g2618,g2618,nor,n184,n135,n183
g2616,g2616,nor,n185,n59,n184
g2612,g2612,nor,n188,n140,n187
g2609,g2609,nor,n190,n91,n189
g2608,g2608,xnor,n2530,n91,n189
g2607,g2607,nor,n191,n43,n190
g2606,g2606,nor,n192,n92,n191
g2605,g2605,xnor,n2531,n92,n191
g2602,g2602,xnor,n2532,n87,n193
g2599,g2599,xnor,n2533,n84,n195
g2594,g2594,nor,n200,n80,n199
g2591,g2591,nor,n202,n85,n201
g2589,g2589,nor,n203,n74,n202
g2587,g2587,xnor,n2537,n88,n203
g2586,g2586,nor,n205,n73,n204
g2584,g2584,xnor,n2538,n93,n205
g2583,g2583,nor,n207,n47,n206
g2662,g2662,xnor,n2512,n139,n153
g2579,g2579,nor,n210,n105,n209
g2577,g2577,nor,n211,n18,n210
g2575,g2575,xnor,n2541,n109,n211
g2574,g2574,nor,n213,n54,n212
g2573,g2573,nor,n214,n111,n213
g2571,g2571,nor,n215,n39,n214
g2569,g2569,xnor,n2543,n114,n215
g2567,g2567,nor,n218,n119,n217
g2564,g2564,nor,n220,n123,n219
g2646,g2646,nor,n165,n69,n164
g2563,g2563,xnor,n2545,n123,n219
g2562,g2562,nor,n221,n42,n220
g2561,g2561,nor,n222,n99,n221
g2558,g2558,nor,n224,n129,n223
g2556,g2556,nor,n225,n50,n224
g2554,g2554,xnor,n2548,n134,n225
g2552,g2552,nor,n228,n138,n227
g2550,g2550,nor,n229,n64,n228
g2546,g2546,nor,n232,n83,n231
g2545,g2545,xnor,n2551,n83,n231
g2544,g2544,nor,n233,n76,n232
g2542,g2542,xnor,n2552,n81,n233
g2538,g2538,nor,n237,n15,n236
g2536,g2536,xnor,n2554,n110,n237
g2535,g2535,nor,n239,n22,n238
g2534,g2534,nor,n240,n101,n239
g2823,g2823,not,n268,n6[1]
g2533,g2533,xnor,n2555,n101,n239
g2532,g2532,nor,n241,n28,n240
g2531,g2531,nor,n242,n112,n241
g2529,g2529,nor,n243,n32,n242
g2525,g2525,nor,n246,n126,n245
g2519,g2519,nor,n250,n90,n249
g2518,g2518,xnor,n2560,n90,n249
g2541,g2541,nor,n235,n58,n234
g2517,g2517,nor,n251,n36,n250
g2516,g2516,nor,n252,n136,n251
g2515,g2515,xnor,n2561,n136,n251
g2511,g2511,nor,n255,n71,n254
g2504,g2504,nor,n260,n103,n259
g2502,g2502,nor,n261,n44,n260
g2501,g2501,nor,n262,n98,n261
g2497,g2497,xnor,n2567,n116,n263
g2494,g2494,xnor,n2568,n95,n265
g2492,g2492,xnor,n2569,n79,n267
g2828,g2828,or,n2614,n2605,n2613
g2491,g2491,not,n280,n2505
g2489,g2489,not,n282,n2505
g2488,g2488,not,n283,n2505
g2487,g2487,not,n284,n2505
g2486,g2486,not,n285,n2505
g2485,g2485,not,n286,n2505
g2483,g2483,not,n288,n2505
g2481,g2481,not,n290,n10[1]
g2480,g2480,not,n291,n8[14]
g2479,g2479,not,n292,n10[0]
g2476,g2476,not,n295,n2[8]
g2472,g2472,not,n299,n2[18]
g2471,g2471,not,n300,n2[17]
g2470,g2470,not,n301,n2[19]
g2468,g2468,not,n303,n5[10]
g2467,g2467,not,n304,n2[43]
g2466,g2466,not,n305,n2[47]
g2461,g2461,not,n310,n2[13]
g2455,g2455,not,n316,n2[58]
g2454,g2454,not,n317,n2[38]
g2451,g2451,not,n320,n2[34]
g2450,g2450,not,n321,n2[48]
g2449,g2449,not,n322,n2[3]
g2742,g2742,xnor,n81,n2[46],n2[110]
g2448,g2448,not,n323,n5[0]
g2445,g2445,not,n326,n2[10]
g2444,g2444,not,n327,n4[23]
g2443,g2443,not,n328,n2[40]
g2442,g2442,not,n329,n5[18]
g2441,g2441,not,n330,n4[3]
g2440,g2440,not,n331,n2[53]
g2439,g2439,not,n332,n2[2]
g2433,g2433,not,n338,n4[11]
g2661,g2661,nor,n155,n27,n154
g2431,g2431,not,n340,n5[44]
g2430,g2430,not,n341,n5[9]
g2429,g2429,not,n342,n2[16]
g2428,g2428,not,n343,n5[24]
g2426,g2426,not,n345,n2[57]
g2424,g2424,not,n347,n2[39]
g2422,g2422,not,n349,n2[5]
g2421,g2421,not,n350,n4[33]
g2419,g2419,not,n352,n4[58]
g2418,g2418,not,n353,n3[35]
g2417,g2417,not,n354,n2[31]
g2415,g2415,not,n356,n2[33]
g2412,g2412,not,n359,n2[49]
g2411,g2411,not,n360,n2[24]
g2410,g2410,not,n361,n2[30]
g2409,g2409,not,n362,n4[36]
g2405,g2405,not,n366,n2[45]
g2403,g2403,not,n368,n2[7]
g2695,g2695,xnor,n128,n2[8],n2[72]
g2400,g2400,not,n371,n2[6]
g2399,g2399,not,n372,n2[32]
g2398,g2398,not,n373,n5[46]
g2395,g2395,not,n376,n5[37]
g2394,g2394,not,n377,n5[17]
g2849,g2849,or,n2593,n7[9],n7[8]
g2393,g2393,not,n378,n2[20]
g2392,g2392,not,n379,n4[55]
g2391,g2391,not,n380,n2[54]
g2506,g2506,xnor,n2564,n125,n257
g2390,g2390,not,n381,n2[25]
g2388,g2388,not,n383,n2[92]
g2499,g2499,nor,n263,n70,n262
g2387,g2387,not,n384,n2563
g2384,g2384,not,n387,n2[120]
g2383,g2383,not,n388,n2[74]
g2382,g2382,not,n389,n2529
g2380,g2380,not,n391,n2556
g2379,g2379,not,n392,n2[97]
g2378,g2378,not,n393,n2[71]
g2377,g2377,not,n394,n2509
g2371,g2371,not,n400,n2525
g2368,g2368,not,n403,n2[81]
g2366,g2366,not,n405,n2[91]
g2365,g2365,not,n406,n2524
g2776,g2776,nor,n78,n14,n11
g2364,g2364,not,n407,n2562
g2363,g2363,not,n408,n2[68]
g2361,g2361,not,n410,n2542
g2360,g2360,not,n411,n2548
g2358,g2358,not,n413,n2566
g2356,g2356,not,n415,n2[76]
g2355,g2355,not,n416,n2568
g2354,g2354,not,n417,n2558
g2352,g2352,not,n419,n2541
g2351,g2351,not,n420,n2[118]
g2350,g2350,not,n421,n2[93]
g2349,g2349,not,n422,n2567
g2346,g2346,not,n425,n2[66]
g2699,g2699,xnor,n124,n2[15],n2[79]
g2344,g2344,not,n427,n2520
g2343,g2343,not,n428,n2523
g2342,g2342,not,n429,n2511
g2339,g2339,not,n432,n2508
g2338,g2338,not,n433,n2516
g2337,g2337,not,n434,n2[119]
g2521,g2521,xnor,n2559,n131,n247
g2336,g2336,not,n435,n2536
g2335,g2335,not,n436,n2[79]
g2334,g2334,not,n437,n2560
g2332,g2332,not,n439,n2506
g2331,g2331,not,n440,n2[122]
g2327,g2327,not,n444,n2513
g2326,g2326,not,n445,n2[90]
g2325,g2325,not,n446,n2[65]
g2324,g2324,not,n447,n2[83]
g2323,g2323,not,n448,n2[84]
g2322,g2322,not,n449,n2[127]
g2447,g2447,not,n324,n2[29]
g2321,g2321,not,n450,n2[87]
g2318,g2318,not,n453,n2[123]
g2315,g2315,not,n456,n2546
g2312,g2312,not,n459,n2[111]
g2425,g2425,not,n346,n2[63]
g2310,g2310,not,n461,n2564
g2307,g2307,not,n464,n2521
g2304,g2304,not,n467,n2[108]
g2303,g2303,not,n468,n2[86]
g2299,g2299,not,n472,n2[89]
g2292,g2292,not,n479,n2[107]
g2555,g2555,nor,n226,n134,n225
g2290,g2290,not,n481,n2531
g2289,g2289,not,n482,n2[126]
g2288,g2288,not,n483,n2[69]
g2285,g2285,not,n486,n2[82]
g2284,g2284,not,n487,n2[102]
g2281,g2281,not,n490,n2[94]
g2795,g2795,nor,n28,n2[49],n2[113]
g2671,g2671,xor,n2509,n102,n146
g2279,g2279,not,n492,n2[112]
g2276,g2276,not,n495,n2[117]
g2275,g2275,not,n496,n2[124]
g2603,g2603,nor,n194,n87,n193
g2274,g2274,not,n497,n2[85]
g2273,g2273,not,n498,n2[72]
g2272,g2272,not,n499,n2[113]
g2271,g2271,not,n500,n2543
g2270,g2270,not,n501,n2510
g2495,g2495,nor,n266,n95,n265
g2268,g2268,not,n503,n2565
g2747,g2747,nor,n75,n2[4],n2[68]
g2267,g2267,not,n504,n2561
g2266,g2266,not,n505,n2[99]
g2265,g2265,not,n506,n2532
g2264,g2264,not,n507,n2[125]
g2408,g2408,not,n363,n2[11]
g2263,g2263,not,n508,n2[100]
g2262,g2262,not,n509,n2528
g2261,g2261,not,n510,n2570
g2258,g2258,not,n513,n8[19]
g2257,g2257,not,n514,n8[8]
g2255,g2255,not,n516,n8[12]
g2291,g2291,not,n480,n2[98]
g2254,g2254,not,n517,n8[26]
g2253,g2253,not,n518,n8[23]
g2251,g2251,not,n520,n8[9]
g2249,g2249,not,n522,n8[11]
g2248,g2248,not,n523,n8[30]
g2246,g2246,not,n525,n8[16]
g2709,g2709,xnor,n114,n2[37],n2[101]
g2245,g2245,not,n526,n8[10]
g2244,g2244,not,n527,n8[29]
g2243,g2243,not,n528,n8[25]
g2242,g2242,not,n529,n8[13]
g2826,g2826,nor,n2616,n2611,n2615
g2241,g2241,not,n530,n8[28]
g2240,g2240,not,n531,n8[7]
g2239,g2239,not,n532,n8[21]
g2237,g2237,not,n534,n8[17]
g2234,g2234,not,n537,n8[27]
g2232,g2232,not,n539,n8[18]
g2230,g2230,not,n541,n9[1]
g2229,g2229,not,n542,n3[0]
g2228,g2228,not,n543,n3[61]
g2227,g2227,not,n544,n5[4]
g2225,g2225,not,n546,n3[23]
g2224,g2224,not,n547,n4[25]
g2219,g2219,not,n552,n4[46]
g2218,g2218,not,n553,n3[63]
g2217,g2217,not,n554,n3[31]
g2505,g2505,nor,n259,n56,n258
g2216,g2216,not,n555,n4[52]
g2214,g2214,not,n557,n5[62]
g2212,g2212,not,n559,n5[3]
g2211,g2211,not,n560,n5[36]
g2210,g2210,not,n561,n3[36]
g2209,g2209,not,n562,n5[63]
g2208,g2208,not,n563,n5[14]
g2205,g2205,not,n566,n3[14]
g2204,g2204,not,n567,n3[37]
g2201,g2201,not,n570,n3[55]
g2200,g2200,not,n571,n3[54]
g2199,g2199,not,n572,n3[40]
g2198,g2198,not,n573,n4[54]
g2527,g2527,xnor,n2557,n120,n243
g2197,g2197,not,n574,n5[52]
g2196,g2196,not,n575,n3[32]
g2195,g2195,not,n576,n3[15]
g2194,g2194,not,n577,n5[35]
g2193,g2193,not,n578,n5[15]
g2596,g2596,xnor,n2534,n82,n197
g2190,g2190,not,n581,n3[57]
g2189,g2189,not,n582,n3[38]
g2186,g2186,not,n585,n3[22]
g2185,g2185,not,n586,n4[43]
g2184,g2184,not,n587,n3[12]
g2182,g2182,not,n589,n6[0]
g2181,g2181,not,n590,n4[38]
g2179,g2179,not,n592,n4[51]
g2176,g2176,not,n595,n3[30]
g2175,g2175,not,n596,n4[9]
g2173,g2173,not,n598,n4[26]
g2172,g2172,not,n599,n4[50]
g2171,g2171,not,n600,n5[16]
g2170,g2170,not,n601,n3[42]
g2168,g2168,not,n603,n4[56]
g2167,g2167,not,n604,n3[50]
g2166,g2166,not,n605,n3[27]
g2165,g2165,not,n606,n3[18]
g2163,g2163,not,n608,n5[60]
g2160,g2160,not,n611,n5[22]
g2159,g2159,not,n612,n4[40]
g2156,g2156,not,n615,n3[46]
g2155,g2155,not,n616,n5[28]
g2154,g2154,not,n617,n3[58]
g2153,g2153,not,n618,n5[6]
g2413,g2413,not,n358,n2[15]
g2151,g2151,not,n620,n4[42]
g2585,g2585,nor,n206,n93,n205
g2150,g2150,not,n621,n4[60]
g2149,g2149,not,n622,n3[17]
g2144,g2144,not,n627,n3[41]
g2143,g2143,not,n628,n5[20]
g2136,g2136,not,n635,n5[57]
g2135,g2135,not,n636,n3[34]
g2133,g2133,not,n638,n3[28]
g2132,g2132,not,n639,n5[34]
g2131,g2131,not,n640,n3[7]
g2128,g2128,not,n643,n3[8]
g2127,g2127,not,n644,n5[58]
g2306,g2306,not,n465,n2[110]
g2126,g2126,not,n645,n5[55]
g2125,g2125,not,n646,n3[49]
g2123,g2123,not,n648,n4[20]
g2791,g2791,nor,n32,n2[50],n2[114]
g2122,g2122,not,n649,n4[2]
g2434,g2434,not,n337,n2[28]
g2121,g2121,not,n650,n4[63]
g2120,g2120,not,n651,n5[12]
g2118,g2118,not,n653,n4[24]
g2633,g2633,nor,n174,n106,n173
g2117,g2117,not,n654,n4[27]
g2116,g2116,not,n655,n4[10]
g2115,g2115,not,n656,n5[59]
g2112,g2112,not,n659,n4[41]
g2111,g2111,not,n660,n4[6]
g2110,g2110,not,n661,n3[21]
g2815,g2815,nor,n275,n270,n273
g2108,g2108,not,n663,n5[2]
g2106,g2106,not,n665,n4[15]
g2105,g2105,not,n666,n4[12]
g2103,g2103,not,n668,n4[31]
g2102,g2102,not,n669,n3[56]
g2101,g2101,not,n670,n3[51]
g2100,g2100,not,n671,n3[26]
g2099,g2099,not,n672,n5[42]
g2097,g2097,not,n674,n5[54]
g2096,g2096,not,n675,n3[33]
g2093,g2093,not,n678,n3[19]
g2091,g2091,not,n680,n3[53]
g2089,g2089,not,n682,n4[28]
g2088,g2088,not,n683,n4[35]
g2423,g2423,not,n348,n2[42]
g2086,g2086,not,n685,n5[39]
g2085,g2085,not,n686,n4[44]
g2404,g2404,not,n367,n2[4]
g2083,g2083,not,n688,n3[1]
g2367,g2367,not,n404,n2515
g2082,g2082,not,n689,n3[20]
g2081,g2081,not,n690,n4[21]
g2079,g2079,not,n692,n3[62]
g2078,g2078,not,n693,n4[7]
g2077,g2077,not,n694,n5[30]
g2076,g2076,not,n695,n5[61]
g2075,g2075,not,n696,n4[5]
g2072,g2072,not,n699,n4[59]
g2071,g2071,not,n700,n3[60]
g2070,g2070,not,n701,n3[39]
g2432,g2432,not,n339,n2[55]
g2069,g2069,not,n702,n4[53]
g2068,g2068,not,n703,n4[37]
g2851,g2851,or,n2591,n2584,n7[26]
g2066,g2066,not,n705,n3[29]
g2739,g2739,xnor,n84,n2[27],n2[91]
g2716,g2716,xnor,n107,n2[5],n2[69]
g2065,g2065,not,n706,n5[49]
g2063,g2063,not,n708,n5[53]
g2061,g2061,not,n710,n3[13]
g2060,g2060,not,n711,n6[1]
g2059,g2059,not,n712,n6[3]
g2058,g2058,not,n713,n6[2]
g2057,g2057,or,n714,n9[0],n9[1]
g2056,g2056,nor,n715,n8[15],n2[79]
g2055,g2055,nor,n716,n8[23],n2[55]
g2054,g2054,nor,n717,n8[15],n2[111]
g2049,g2049,nor,n722,n8[5],n2[69]
g2389,g2389,not,n382,n2[106]
g2048,g2048,nor,n723,n8[16],n2[80]
g2046,g2046,nor,n725,n8[22],n2[54]
g2601,g2601,nor,n195,n65,n194
g2043,g2043,nor,n728,n8[24],n2[88]
g2042,g2042,nor,n729,n8[25],n2[57]
g2041,g2041,nor,n730,n8[4],n2[4]
g2039,g2039,nor,n732,n8[22],n2[22]
g2038,g2038,nor,n733,n8[7],n2[71]
g2738,g2738,xnor,n85,n2[30],n2[94]
g2035,g2035,nor,n736,n8[3],n2[3]
g2034,g2034,nor,n737,n8[9],n2[73]
g2033,g2033,nor,n738,n8[7],n2545
g2032,g2032,nor,n739,n8[6],n2[6]
g2031,g2031,nor,n740,n8[26],n2[58]
g2030,g2030,nor,n741,n8[14],n2520
g2028,g2028,nor,n743,n8[10],n2516
g2755,g2755,nor,n67,n2[38],n2[102]
g2027,g2027,nor,n744,n8[16],n2554
g2317,g2317,not,n454,n2526
g2026,g2026,nor,n745,n8[28],n2566
g2024,g2024,nor,n747,n8[31],n2537
g2023,g2023,nor,n748,n8[8],n2546
g2022,g2022,nor,n749,n8[27],n2[91]
g2019,g2019,nor,n752,n2[64],n10[0]
g2018,g2018,nor,n753,n8[5],n2[5]
g2016,g2016,nor,n755,n2507,n10[1]
g2015,g2015,nor,n756,n8[8],n2[8]
g2014,g2014,nor,n757,n8[17],n2[113]
g2012,g2012,nor,n759,n8[27],n2[59]
g2152,g2152,not,n619,n3[5]
g2011,g2011,nor,n760,n6[0],n288
g2278,g2278,not,n493,n2534
g2010,g2010,nor,n761,n8[8],n2514
g2009,g2009,nor,n762,n8[16],n2[48]
g2008,g2008,nor,n763,n8[25],n2[121]
g2006,g2006,nor,n765,n8[21],n2[53]
g2004,g2004,nor,n767,n8[28],n2[92]
g2319,g2319,not,n452,n2522
g2002,g2002,nor,n769,n8[27],n2[123]
g2001,g2001,nor,n770,n8[18],n2[50]
g2298,g2298,not,n473,n2533
g2000,g2000,nor,n771,n8[20],n2[84]
g2683,g2683,xnor,n140,n2[23],n2[87]
g2435,g2435,not,n336,n2[62]
g1999,g1999,nor,n772,n8[21],n2[117]
g1998,g1998,nor,n773,n8[11],n2[75]
g1995,g1995,nor,n776,n8[9],n2[41]
g1992,g1992,nor,n779,n8[14],n2[46]
g1991,g1991,nor,n780,n8[24],n2530
g2813,g2813,xor,n2570,n6[3],n275
g1990,g1990,nor,n781,n8[23],n2561
g1987,g1987,nor,n784,n8[5],n2511
g1985,g1985,nor,n786,n8[12],n2[76]
g2473,g2473,not,n298,n2[26]
g1984,g1984,nor,n787,n8[30],n2[94]
g1982,g1982,nor,n789,n8[24],n2562
g2119,g2119,not,n652,n3[9]
g1981,g1981,nor,n790,n8[5],n2[37]
g1980,g1980,nor,n791,n8[14],n2[78]
g1979,g1979,nor,n792,n8[4],n2[36]
g2500,g2500,xnor,n2566,n98,n261
g1978,g1978,nor,n793,n8[21],n2527
g1977,g1977,nor,n794,n2[0],n10[0]
g1974,g1974,nor,n797,n8[13],n2[77]
g1973,g1973,nor,n798,n2[1],n10[1]
g1972,g1972,nor,n799,n8[2],n2[34]
g1971,g1971,nor,n800,n8[26],n2[90]
g1970,g1970,nor,n801,n8[18],n2[114]
g1969,g1969,nor,n802,n8[3],n2[67]
g1967,g1967,nor,n804,n8[29],n2[125]
g1966,g1966,nor,n805,n8[31],n2[31]
g1964,g1964,nor,n807,n8[22],n2528
g1963,g1963,nor,n808,n8[19],n2[51]
g2537,g2537,nor,n238,n110,n237
g1988,g1988,nor,n783,n8[10],n2[42]
g1962,g1962,nor,n809,n8[30],n2[30]
g1961,g1961,nor,n810,n8[29],n2[29]
g1960,g1960,nor,n811,n8[28],n2[28]
g2235,g2235,not,n536,n8[22]
g1958,g1958,nor,n813,n8[8],n2[104]
g1957,g1957,nor,n814,n2[96],n10[0]
g2328,g2328,not,n443,n2[103]
g1956,g1956,nor,n815,n8[27],n2[27]
g2464,g2464,not,n307,n2[46]
g1955,g1955,nor,n816,n8[2],n2508
g1954,g1954,nor,n817,n8[20],n2526
g2528,g2528,nor,n244,n120,n243
g1953,g1953,nor,n818,n8[14],n2[110]
g1952,g1952,nor,n819,n8[25],n2[25]
g2362,g2362,not,n409,n2[67]
g1951,g1951,nor,n820,n8[29],n2[61]
g1949,g1949,nor,n822,n8[7],n2[103]
g1948,g1948,nor,n823,n8[24],n2[24]
g1946,g1946,nor,n825,n8[25],n2[89]
g1944,g1944,nor,n827,n320,n281
g2460,g2460,not,n311,n2[52]
g1943,g1943,nor,n828,n8[29],n2535
g1942,g1942,nor,n829,n8[21],n2[21]
g1941,g1941,nor,n830,n8[20],n2[20]
g1938,g1938,nor,n833,n2[32],n10[0]
g2482,g2482,not,n289,n8[5]
g1937,g1937,nor,n834,n8[18],n2[18]
g2226,g2226,not,n545,n3[43]
g1935,g1935,nor,n836,n8[28],n2[124]
g1934,g1934,nor,n837,n8[25],n2563
g1933,g1933,nor,n838,n8[17],n2[17]
g1932,g1932,nor,n839,n8[31],n2[127]
g2619,g2619,nor,n183,n55,n182
g1931,g1931,nor,n840,n8[16],n2522
g1930,g1930,nor,n841,n8[30],n2[62]
g1929,g1929,nor,n842,n8[21],n2[85]
g1928,g1928,nor,n843,n8[15],n2[15]
g1926,g1926,nor,n845,n8[26],n2[26]
g2407,g2407,not,n364,n2[51]
g2357,g2357,not,n414,n2551
g1950,g1950,nor,n821,n8[29],n2[93]
g1924,g1924,nor,n847,n8[15],n2521
g2610,g2610,nor,n189,n19,n188
g1922,g1922,nor,n849,n8[4],n2510
g1920,g1920,nor,n851,n8[26],n2[122]
g1919,g1919,nor,n852,n8[20],n2[52]
g1915,g1915,nor,n856,n8[10],n2[106]
g1914,g1914,nor,n857,n8[3],n2541
g1912,g1912,nor,n859,n8[12],n2518
g1910,g1910,nor,n861,n8[11],n2517
g2845,g2845,or,n2597,n2573,n2574
g1909,g1909,nor,n862,n8[19],n2[83]
g1921,g1921,nor,n850,n8[12],n2[12]
g1905,g1905,nor,n866,n8[30],n2[126]
g1903,g1903,nor,n868,n8[3],n2[35]
g1901,g1901,nor,n870,n8[19],n2557
g2037,g2037,nor,n734,n8[22],n2[118]
