n222 g3039
n2259 g2749
n4[12] g2748
n704 g2743
n986 g2741
n936 g2740
n2717 g2739
n1975 g2736
n4[56] g2735
n1615 g2734
n390 g2732
n199 g2795
n1162 g2731
n1437 g2730
n2300 g2729
n1866 g2728
n1202 g2727
n1688 g2726
n1630 g2724
n969 g2720
n1235 g2717
n1800 g2715
n3[25] g2713
n1935 g2712
n1087 g2711
n2640 g2707
n2589 g2706
n2391 g2705
n284 g2704
n2423 g2702
n317 g2699
n1584 g2697
n707 g2696
n1583 g2694
n1246 g2693
n723 g2689
n2781 g2687
n5[18] g2686
n792 g2685
n1661 g2684
n2479 g2683
n2257 g2682
n1872 g2680
n1843 g2674
n2314 g2673
n9[0] g2928
n1671 g2672
n2547 g2671
n882 g2670
n1093 g2668
n1778 g2919
n1340 g2667
n92 g2666
n914 g2664
n1330 g2663
n1918 g2662
n1030 g2656
n2369 g2653
n258 g2652
n1144 g2651
n1568 g2650
n1337 g2649
n2202 g2647
n5[52] g2643
n1037 g3012
n1983 g2642
n779 g2641
n674 g2640
n1058 g2639
n620 g2637
n1954 g2635
n2649 g2950
n1021 g2634
n1656 g2633
n1795 g2631
n104 g2969
n1873 g2629
n654 g2628
n1735 g2627
n757 g2626
n97 g2625
n3[32] g2624
n76 g2623
n1338 g2622
n2804 g2620
n843 g2618
n435 g2615
n1792 g2614
n1332 g2613
n2067 g2611
n548 g2610
n1507 g2609
n7[47] g2608
n2351 g2607
n338 g2606
n1090 g2605
n454 g2602
n530 g2738
n2753 g2597
n804 g2594
n5[39] g2593
n3[6] g2592
n1012 g2983
n1298 g2590
n465 g2588
n2496 g2587
n1571 g2585
n3[26] g2583
n377 g2581
n1201 g2580
n1197 g2579
n4[7] g2577
n133 g2576
n2298 g2575
n2196 g2574
n1140 g2761
n1371 g2573
n770 g2572
n2319 g2571
n2451 g2570
n62 g2565
n1559 g2564
n1066 g2563
n2181 g2560
n2814 g2559
n1219 g2558
n319 g2551
n2373 g2550
n1328 g2548
n2238 g2547
n1992 g2546
n2204 g2544
n476 g2541
n2271 g2540
n1498 g2537
n1231 g2535
n5[30] g2532
n2572 g2531
n486 g2530
n3[0] g2528
n597 g2527
n1640 g2778
n2203 g2526
n66 g2523
n320 g2522
n652 g2521
n1230 g2519
n421 g2518
n124 g2517
n2302 g2515
n1196 g2905
n1319 g2514
n1392 g2513
n461 g2512
n118 g2511
n690 g2509
n1871 g2723
n1321 g2508
n2469 g2507
n1414 g2505
n2641 g2504
n1747 g2503
n2131 g2502
n1782 g2500
n794 g2561
n471 g2499
n1986 g2496
n1706 g2492
n2340 g2491
n1017 g2489
n2498 g2488
n586 g2487
n367 g2486
n9[19] g2485
n2419 g2483
n2409 g2482
n1307 g2479
n778 g2476
n1097 g2475
n1608 g2636
n2397 g2474
n2788 g2473
n1225 g2472
n7[63] g2984
n1910 g2552
n525 g2469
n789 g2468
n4[45] g2467
n270 g2466
n2165 g2510
n529 g2465
n79 g2462
n5[25] g2458
n496 g2457
n94 g2454
n2275 g2453
n1326 g2452
n3[4] g2449
n1763 g2448
n2007 g2447
n2006 g2446
n2212 g2443
n1628 g2442
n1704 g2478
n924 g2440
n1448 g2438
n685 g2437
n2629 g2435
n422 g2434
n2311 g2433
n540 g2432
n380 g2746
n5[42] g2431
n9[10] g2430
n1697 g2471
n1916 g2427
n1576 g2956
n893 g2421
n2578 g2420
n83 g2419
n1717 g2417
n201 g2416
n2618 g2413
n1071 g2411
n2591 g2410
n1572 g2408
n1474 g2406
n5[38] g2401
n60 g2400
n3[13] g2398
n2134 g2397
n1035 g2395
n2401 g2391
n2129 g2390
n228 g2389
n53 g2387
n1367 g2386
n3[49] g2385
n1638 g2381
n1469 g2377
n5[56] g2376
n1836 g2375
n2209 g2374
n1055 g2373
n1318 g2372
n2089 g2371
n2525 g2769
n1489 g2367
n2248 g2366
n2806 g2364
n2075 g2946
n720 g2362
n415 g2361
n2249 g2360
n944 g2359
n1657 g2358
n564 g2357
n1010 g2350
n2289 g2348
n2013 g2347
n946 g2346
n851 g2345
n9[2] g2342
n701 g2340
n746 g2339
n2015 g2337
n2079 g2336
n2004 g2334
n1915 g2333
n1544 g2332
n1926 g2331
n2012 g2329
n1672 g2326
n2158 g2325
n592 g2324
n1479 g2323
n2048 g2322
n1275 g2321
n1802 g2320
n999 g2319
n436 g2318
n5[8] g2677
n2530 g2317
n1547 g2314
n687 g2312
n1223 g2308
n1856 g2306
n2194 g2304
n2197 g2303
n5[33] g2302
n2262 g2301
n1610 g2821
n3[19] g2299
n1624 g2297
n1221 g2296
n1511 g2295
n245 g2293
n1128 g2289
n2323 g2288
n2688 g2287
n1679 g2286
n1991 g2283
n1240 g2281
n1620 g2280
n2376 g2279
n2109 g2278
n480 g2277
n370 g2276
n1121 g2275
n1070 g2759
n1169 g2274
n2772 g2273
n2613 g2272
n1133 g3033
n369 g2269
n1715 g2266
n473 g2265
n1727 g2264
n1938 g2262
n1409 g2261
n605 g2259
n1667 g2257
n8[0] g2256
n2021 g2255
n171 g2253
n803 g2251
n2740 g2250
n1082 g2379
n2536 g2247
n1290 g2246
n1955 g2245
n616 g2242
n2310 g2241
n2603 g2407
n2748 g2240
n587 g2239
n2742 g2238
n1348 g2995
n1622 g2237
n554 g2236
n752 g2924
n2516 g2235
n2562 g2234
n1556 g2232
n1652 g2230
n722 g2882
n781 g2229
n1501 g2227
n309 g1168
n2065 g969
n9[15] g1171
n5[0] g965
n2565 g2703
n1229 g1256
n786 g964
n413 g2506
n2783 g1167
n795 g959
n1686 g1023
n475 g958
n15 g956
n2380 g955
n780 g2756
n2162 g1727
n1134 g954
n2060 g899
n2045 g884
n966 g967
n9[3] g132
n1695 g953
n185 g952
n443 g547
n638 g184
n2441 g2934
n168 g949
n2508 g2012
n1668 g948
n2784 g1293
n323 g947
n2503 g2701
n296 g945
n1982 g520
n5[26] g939
n29 g2725
n2521 g1559
n2046 g933
n251 g1257
n2095 g2415
n1138 g1305
n1396 g1921
n818 g928
n223 g1989
n813 g925
n911 g1770
n2082 g916
n397 g91
n1260 g915
n469 g912
n1457 g2516
n2105 g1119
n2223 g905
n1047 g355
n2443 g903
n2372 g901
n283 g581
n2272 g900
n2623 g412
n368 g2933
n2447 g886
n2171 g926
n1752 g475
n1114 g880
n441 g2679
n1264 g879
n2[85] n2[85]
n1278 g1697
n1462 g876
n2266 g872
n4[25] g2553
n537 g871
n579 g1075
n1888 g869
n737 g796
n2582 g864
n420 g2874
n555 g862
n1300 g960
n1293 g861
n1116 g842
n801 g1378
n137 g855
n186 g843
n1255 g833
n2176 g919
n4[37] g836
n2[62] n2[62]
n315 g1861
n1358 g835
n263 g2921
n2087 g2097
n1419 g834
n557 g830
n1142 g2591
n1243 g268
n868 g1593
n884 g828
n1730 g826
n2497 g825
n1939 g38
n467 g2231
n1581 g822
n359 g2747
n1822 g1756
n235 g818
n2703 g813
n1150 g2536
n1314 g767
n2100 g829
n134 g811
n1902 g701
n1103 g809
n1167 g750
n2201 g2114
n1207 g806
n2402 g804
n2[66] n2[66]
n796 g2996
n2428 g801
n4[53] g2291
n894 g1286
n1111 g800
n2338 g1975
n2442 g799
n9[9] g794
n1805 g2931
n716 g362
n2335 g951
n3[30] g2215
n1009 g788
n1373 g781
n1540 g2404
n49 g780
n574 g2719
n1136 g555
n1494 g1494
n1262 g775
n1451 g232
n2068 g2815
n2155 g2744
n2041 g2159
n2771 g773
n159 g771
n375 g769
n2652 g2520
n692 g250
n862 g784
n5[2] g2015
n274 g764
n2[16] n2[16]
n45 g762
n1251 g2383
n2535 g2071
n501 g758
n1907 g607
n1530 g756
n1635 g755
n1558 g859
n1064 g285
n1446 g2657
n2468 g991
n120 g1079
n1748 g1316
n2214 g754
n1466 g2429
n4[46] g817
n1841 g120
n322 g751
n2244 g2248
n505 g2193
n612 g898
n1911 g2568
n141 g963
n1969 g1981
n4[5] g975
n1565 g744
n3[56] g1909
n575 g743
n660 g2029
n2812 g852
n2435 g171
n2116 g734
n1284 g2249
n2736 g733
n51 g156
n589 g2412
n3[10] g942
n87 g731
n1859 g932
n249 g303
n2803 g847
n2305 g1410
n1001 g1732
n2313 g727
n1186 g726
n2208 g228
n860 g718
n1838 g979
n210 g716
n1118 g2059
n2393 g715
n891 g709
n1529 g339
n518 g705
n2182 g1626
n817 g713
n2716 g698
n2207 g851
n1629 g1194
n977 g2709
n11 g704
n1216 g690
n289 g1880
n2592 g688
n2268 g307
n2730 g687
n2523 g685
n975 g684
n1655 g971
n736 g1747
n1683 g737
n2199 g1983
n2128 g683
n2231 g682
n928 g681
n1847 g1197
n572 g2356
n1611 g679
n713 g970
n119 g504
n2689 g676
n2164 g2351
n2178 g1656
n1411 g2960
n4[30] g675
n2724 g637
n1940 g722
n902 g1779
n1746 g674
n189 g930
n2511 g1702
n2695 g673
n2624 g1600
n126 g672
n1176 g1428
n3[36] g2501
n18 g671
n2326 g812
n1042 g2867
n5[51] g670
n1075 g918
n883 g1044
n2239 g1380
n2358 g1531
n481 g669
n213 g831
n1943 g853
n949 g763
n1052 g479
n4[21] g1914
n2478 g668
n2675 g667
n1323 g904
n146 g666
n1760 g1749
n2434 g3020
n2186 g665
n1808 g2655
n845 g107
n1102 g664
n470 g1594
n2570 g2352
n1060 g662
n558 g1685
n3[20] g711
n1623 g2766
n2574 g1783
n2361 g1388
n1703 g658
n2334 g272
n1380 g1053
n2307 g714
n1845 g1439
n1853 g655
n917 g2539
n5[9] g931
n904 g653
n2354 g650
n932 g649
n4[33] g1367
n252 g648
n2179 g61
n40 g647
n1537 g2455
n1038 g2042
n138 g646
n2732 g518
n236 g2819
n960 g2589
n727 g1411
n2798 g863
n646 g1323
n2605 g1392
n2173 g642
n2392 g892
n1988 g1541
n2[109] n2[109]
n2151 g2962
n1527 g55
n1742 g2718
n158 g1670
n5[23] g2876
n2010 g1729
n2180 g920
n1680 g634
n1439 g2254
n2410 g252
n1678 g660
n910 g922
n753 g2353
n1495 g1778
n515 g633
n2663 g631
n1285 g2394
n874 g946
n1287 g766
n1177 g1532
n3[55] g2978
n901 g1029
n3[37] g2199
n2586 g627
n1171 g3025
n556 g624
n2656 g1336
n102 g623
n651 g622
n1292 g2780
n2693 g320
n2106 g619
n981 g2461
n1145 g1431
n2125 g850
n2734 g910
n2[111] n2[111]
n1876 g1924
n2118 g2170
n437 g610
n1400 g609
n691 g1019
n227 g2139
n1025 g837
n1188 g891
n2[115] n2[115]
n200 g1528
n1005 g1860
n5[43] g2787
n1122 g605
n749 g2562
n838 g603
n1997 g739
n918 g601
n1464 g821
n1208 g600
n266 g636
n2195 g1452
n1386 g1760
n2580 g611
n1956 g596
n1723 g2616
n1261 g1478
n2250 g29
n292 g593
n2709 g461
n1573 g386
n744 g591
n1914 g553
n450 g2970
n224 g2722
n1336 g1490
n2404 g576
n531 g575
n811 g706
n112 g572
n1468 g1084
n1712 g1669
n340 g776
n1820 g568
n1710 g565
n880 g1471
n2040 g560
n1783 g557
n590 g793
n1641 g1900
n694 g2055
n48 g554
n2142 g2463
n2626 g387
n2678 g656
n1344 g2060
n1205 g573
n822 g580
n2343 g3007
n2[65] n2[65]
n1901 g298
n1674 g2714
n1151 g545
n1086 g124
n1485 g1561
n509 g795
n2754 g1292
n1642 g542
n959 g541
n1758 g588
n1131 g1668
n2365 g540
n153 g1775
n244 g546
n1945 g532
n935 g2388
n444 g515
n1068 g2557
n2[37] n2[37]
n3[46] g659
n1718 g598
n2811 g449
n1164 g1216
n4[14] g524
n1270 g233
n1366 g2598
n1263 g902
n2818 g2907
n3[50] g1135
n1846 g1393
n2228 g521
n1061 g12
n1363 g431
n389 g748
n2533 g1001
n1438 g923
n4[29] g517
n1490 g929
n1961 g470
n108 g651
n955 g1199
n2779 g1601
n563 g514
n1693 g2681
n299 g976
n926 g1661
n3[63] g512
n5[3] g510
n776 g1139
n2787 g509
n1444 g51
n1868 g824
n684 g1297
n2382 g2830
n4[13] g503
n2425 g411
n2671 g502
n970 g1190
n571 g2923
n129 g501
n194 g499
n1220 g2495
n923 g122
n1460 g2877
n517 g1418
n281 g497
n1541 g492
n3[27] g1871
n1232 g703
n871 g1301
n313 g490
n759 g2115
n2379 g488
n2269 g365
n1303 g487
n314 g1169
n1773 g694
n1311 g289
n2036 g484
n2[24] n2[24]
n2429 g1782
n1566 g481
n2152 g478
n2117 g2305
n896 g472
n1020 g2942
n2669 g468
n1238 g321
n2[98] n2[98]
n2253 g1501
n1036 g2020
n1633 g3027
n1812 g467
n2345 g616
n2480 g1526
n1588 g1637
n2420 g465
n3[14] g823
n984 g2646
n1378 g1844
n2168 g463
n533 g168
n1359 g2855
n1403 g462
n1237 g459
n98 g2944
n191 g630
n1135 g2196
n785 g457
n247 g154
n36 g2089
n4[44] g456
n1266 g452
n925 g2470
n2108 g195
n2554 g1192
n2299 g450
n1733 g943
n1518 g1748
n2353 g888
n362 g791
n2[63] n2[63]
n2066 g448
n900 g721
n1286 g378
n879 g914
n187 g299
n2733 g881
n5[32] g2439
n1408 g827
n1211 g2926
n1000 g445
n1987 g1822
n1364 g790
n303 g1971
n2642 g798
n2346 g1185
n452 g1468
n1467 g398
n1531 g443
n2598 g2309
n2464 g2161
n337 g890
n528 g1237
n1302 g440
n738 g313
n1279 g2758
n3[9] g437
n1677 g2596
n2797 g2298
n56 g846
n2416 g1330
n1384 g1963
n1112 g436
n261 g844
n2085 g435
n1670 g432
n1854 g422
n2[49] n2[49]
n1528 g778
n670 g550
n2706 g155
n2773 g1906
n4[31] g2315
n2791 g1567
n634 g530
n768 g1529
n733 g2529
n581 g1177
n2234 g421
n1182 g702
n2[113] n2[113]
n976 g1122
n2672 g419
n641 g1832
n2775 g3006
n1976 g710
n1063 g1690
n1334 g1986
n1989 g454
n1141 g413
n2261 g279
n677 g383
n1774 g2343
n856 g1368
n2729 g496
n68 g396
n1041 g108
n1550 g287
n2482 g1515
n2001 g341
n1772 g934
n405 g913
n1809 g526
n1306 g2567
n793 g1776
n2452 g101
n2296 g2947
n1473 g2497
n1289 g329
n2677 g1068
n1272 g978
n333 g1539
n2[118] n2[118]
n4[62] g96
n2[91] n2[91]
n1968 g528
n1506 g870
n9[16] g1376
n2757 g275
n2643 g2233
n2205 g645
n2590 g2074
n34 g95
n1045 g2524
n1193 g364
n1920 g786
n2743 g446
n2488 g1049
n301 g73
n1331 g2444
n341 g344
n1744 g549
n617 g961
n1883 g392
n711 g738
n41 g88
n2[2] n2[2]
n16 g2569
n2744 g86
n3[34] g102
n599 g2310
n2339 g1120
n2337 g1
n1415 g1085
n4[47] g139
n828 g749
n329 g2802
n2297 g1620
n2341 g82
n1609 g854
n417 g235
n1562 g254
n783 g2556
n1106 g966
n91 g574
n2614 g76
n22 g98
n2[88] n2[88]
n293 g1048
n542 g144
n1777 g65
n1867 g511
n534 g1371
n750 g2902
n2400 g765
n1310 g78
n265 g2079
n765 g803
n2531 g63
n1250 g2393
n1886 g924
n993 g428
n623 g62
n717 g618
n216 g45
n1880 g895
n1560 g1060
n2727 g60
n2430 g113
n1863 g1035
n787 g2791
n772 g74
n1825 g3040
n2487 g240
n1601 g57
n2002 g178
n549 g1689
n1124 g143
n2008 g602
n2579 g44
n9[12] g251
n2[95] n2[95]
n1341 g14
n5[47] g556
n25 g860
n1690 g397
n1796 g2838
n1192 g118
n1247 g2893
n2163 g206
n2615 g50
n2159 g724
n1500 g93
n1750 g340
n1370 g464
n1953 g1450
n1345 g2836
n105 g137
n1137 g1395
n5[61] g1706
n2[87] n2[87]
n157 g249
n154 g390
n954 g2087
n938 g1142
n2483 g1062
n1239 g114
n80 g2402
n2[46] n2[46]
n1011 g2894
n2569 g1610
n2[73] n2[73]
n853 g36
n1786 g848
n2653 g34
n613 g680
n621 g2182
n2[31] n2[31]
n2[53] n2[53]
n1816 g395
n2018 g582
n2[18] n2[18]
n2070 g644
n151 g3008
n1598 g169
n991 g661
n306 g1056
n1449 g451
n14 g32
n2526 g2911
n1024 g1855
n1039 g1767
n2765 g1836
n2627 g109
n2130 g2165
n181 g2716
n85 g53
n324 g2973
n614 g629
n383 g447
n953 g359
n1919 g1245
n1512 g2935
n2019 g1650
n177 g31
n2662 g23
n1184 g258
n2232 g2910
n2198 g2480
n2697 g30
n107 g248
n2350 g16
n2[15] n2[15]
n943 g348
n418 g1108
n407 g613
n1981 g13
n1848 g1310
n1964 g1413
n1426 g2451
n275 g80
n1217 g406
n288 g635
n1708 g9
n3[39] g1474
n2170 g141
n636 g563
n1085 g5
n431 g318
n2184 g353
n1618 g400
n1595 g2090
n1936 g808
n1008 g3
n2399 g1275
n2[77] n2[77]
n2519 g779
n2[52] n2[52]
n2776 g1548
n2513 g291
n2414 g391
n1519 g330
n96 g26
n1034 g1499
n2[17] n2[17]
n2318 g2985
n2394 g2268
n1835 g1980
n1496 g838
n2532 g426
n1299 g1486
n7[15] g2307
n1632 g433
n2763 g290
n912 g2
n2061 g2426
n2[126] n2[126]
n2726 g1313
n2576 g1576
n1662 g1579
n541 g2007
n2052 g2396
n447 g54
n2295 g2138
n1497 g1660
n649 g632
n116 g558
n487 g316
n2[42] n2[42]
n2[19] n2[19]
n2[41] n2[41]
n74 g740
n624 g200
n2[36] n2[36]
n2[29] n2[29]
n2[35] n2[35]
n2658 g1926
n12 g1457
n2566 g2106
n2[39] n2[39]
n791 g1069
n1488 g882
n1350 g2179
n2[30] n2[30]
n2[48] n2[48]
n1570 g77
n719 g2111
n2489 g1819
n2102 g1342
n2124 g281
n2[8] n2[8]
n2[4] n2[4]
n2[43] n2[43]
n1587 g1956
n2632 g2152
n2[21] n2[21]
n1957 g350
n2465 g537
n2[56] n2[56]
n1921 g1137
n115 g677
n10 g638
n2527 g227
n1793 g2300
n451 g1320
n73 g204
n994 g473
n2[40] n2[40]
n2[71] n2[71]
n2651 g19
n499 g2198
n951 g220
n2650 g1633
n2[1] n2[1]
n678 g453
n1726 g875
n1322 g1231
n425 g2284
n4[52] g136
n2210 g2225
n731 g2678
n5[22] g584
n2645 g1944
n2383 g1688
n1153 g571
n2[104] n2[104]
n595 g1221
n2[47] n2[47]
n165 g564
n524 g21
n2[120] n2[120]
n2[33] n2[33]
n30 g242
n3[51] g160
n1317 g347
n1218 g416
n2097 g2884
n2[59] n2[59]
n1813 g2093
n2[23] n2[23]
n2[32] n2[32]
n1484 g552
n2[9] n2[9]
n2145 g3002
n2279 g2675
n1104 g485
n1117 g70
n2[127] n2[127]
n773 g1978
n1179 g1469
n1898 g2146
n1213 g935
n1753 g874
n178 g692
n3[57] g2205
n4[39] g641
n1412 g2939
n2715 g125
n2[54] n2[54]
n3[48] g399
n2123 g2014
n2462 g46
n492 g1893
n2[27] n2[27]
n2552 g1558
n2[28] n2[28]
n84 g1915
n2702 g191
n657 g1114
n1639 g466
n1362 g115
n1067 g2078
n58 g792
n75 g116
n1749 g2880
n1536 g1666
n1647 g306
n2[38] n2[38]
n2453 g2180
n1855 g2258
n2264 g324
n1163 g810
n2493 g174
n2[12] n2[12]
n899 g358
n259 g911
n1738 g441
n1051 g1115
n438 g1829
n0 n0
n2646 g974
n708 g1489
n895 g2484
n2[7] n2[7]
n504 g425
n1301 g99
n1245 g277
n2621 g404
n2467 g110
n2690 g2659
n6[1] g1580
n1076 g1813
n1833 g161
n2[105] n2[105]
n2433 g1015
n1347 g841
n1698 g1805
n2676 g59
n295 g579
n706 g278
n559 g2490
n1515 g336
n2284 g1117
n2[119] n2[119]
n2541 g908
n842 g1977
n2220 g7
n373 g1547
n3[60] g3015
n2053 g121
n1503 g1750
n2785 g146
n2190 g2270
n907 g310
n2426 g1101
n78 g2168
n2635 g153
n526 g1344
n1770 g1214
n2573 g2226
n1741 g742
n658 g2542
n1492 g543
n1978 g356
n2800 g1556
n2655 g17
n1965 g434
n2[20] n2[20]
n992 g1733
n2037 g494
n2308 g8
n2050 g15
n180 g1002
n2494 g2030
n2[72] n2[72]
n724 g887
n1755 g430
n2224 g1585
n2[5] n2[5]
n2599 g131
n2[110] n2[110]
n2644 g972
n2[58] n2[58]
n989 g42
n352 g128
n416 g717
n962 g263
n1155 g2175
n344 g1011
n364 g590
n1445 g2979
n2215 g126
n766 g621
n203 g231
n4[8] g663
n1158 g604
n666 g471
n712 g198
n2[64] n2[64]
n2[26] n2[26]
n2619 g1908
n2[121] n2[121]
n2281 g1949
n2424 g797
n2390 g274
n810 g52
n1352 g1513
n769 g405
n2[68] n2[68]
n2[70] n2[70]
n857 g747
n279 g360
n601 g2498
n1159 g0
n2146 g37
n2786 g185
n1405 g2130
n3[18] g1902
n2098 g292
n2[75] n2[75]
n63 g2772
n169 g407
n1682 g2459
n312 g785
n2140 g111
n609 g1325
n3[59] g84
n1315 g225
n1401 g1294
n2227 g410
n2[57] n2[57]
n2[80] n2[80]
n588 g2941
n1980 g183
n2500 g625
n835 g1467
n2217 g832
n2[82] n2[82]
n173 g760
n1056 g71
n1590 g90
n1335 g1652
n2112 g49
n391 g217
n3[54] g612
n1441 g535
n2[25] n2[25]
n2756 g56
n1553 g2900
n1476 g2084
n653 g2967
n57 g2850
n77 g79
n2[45] n2[45]
n4[35] g1654
n751 g877
n5[45] g2604
n374 g48
n1410 g1287
n255 g1940
n202 g236
n2[117] n2[117]
n406 g112
n2794 g1677
n4[60] g2037
n1596 g2045
n1917 g845
n2[89] n2[89]
n8[1] g1609
n2664 g474
n837 g1201
n1434 g2222
n1212 g105
n2277 g628
n1172 g1818
n1200 g1090
n2349 g1283
n5[59] g1814
n1959 g189
n1603 g187
n55 g1162
n1653 g1896
n1354 g689
n1673 g1792
n2316 g536
n2[90] n2[90]
n1491 g897
n1922 g2121
n386 g2832
n625 g58
n1360 g186
n2561 g990
n285 g2644
n2044 g1282
n1006 g1553
n2679 g1942
n2[102] n2[102]
n1534 g209
n2583 g442
n328 g1246
n2585 g1806
n1892 g354
n2[101] n2[101]
n852 g1233
n1966 g2927
n404 g72
n2077 g319
n2[106] n2[106]
n2790 g732
n2274 g1455
n5[14] g1557
n2187 g1835
n961 g697
n1031 g147
n2575 g1067
n1973 g534
n183 g247
n1606 g1152
n800 g927
n2622 g1146
n2[112] n2[112]
n1019 g166
n1154 g1684
n2288 g1304
n2[114] n2[114]
n1257 g2267
n648 g35
n2029 g1249
n1372 g507
n2712 g129
n211 g2223
n399 g41
n242 g119
n1152 g2382
n1882 g1938
n238 g728
n2484 g893
n2156 g538
n1751 g533
n88 g1560
n448 g1514
n2610 g1399
n1532 g857
n2[51] n2[51]
n1481 g2243
n2807 g66
n1281 g244
n546 g130
n2768 g1485
n207 g2638
n2062 g1498
n1422 g753
n445 g385
n2256 g2936
n426 g615
n2418 g1211
n2668 g2768
n703 g1961
n2[11] n2[11]
n198 g2338
n681 g1741
n302 g334
n31 g33
n1896 g1149
n849 g3021
n2[100] n2[100]
n570 g1291
n2540 g135
n2240 g774
n2722 g381
n1252 g297
n2[108] n2[108]
n1582 g345
n2[124] n2[124]
n2[86] n2[86]
n807 g1955
n1810 g2252
n1483 g138
n402 g140
n1899 g2157
n527 g2810
n305 g787
n1865 g657
n2229 g2566
n2078 g438
n1815 g193
n2255 g2757
n2327 g2543
n2016 g1903
n2415 g2212
n72 g1493
n2031 g214
n1719 g148
n1694 g257
n462 g158
n2213 g302
n1190 g266
n971 g2378
n2696 g896
n1999 g149
n885 g1574
n1368 g150
n1788 g626
n2352 g735
n1054 g678
n490 g2027
n2242 g2046
n2398 g20
n2739 g1088
n1046 g282
n890 g1403
n2[78] n2[78]
n819 g1768
n2581 g157
n2782 g3029
n427 g2688
n2611 g2601
n1418 g491
n347 g1281
n2056 g2929
n2051 g1495
n2542 g2603
n688 g87
n2813 g159
n2360 g25
n1125 g371
n2593 g229
n956 g43
n1731 g262
n1851 g164
n2122 g167
n2113 g1401
n2789 g458
n2273 g2879
n188 g280
n64 g2848
n2147 g2418
n2175 g1960
n2355 g1571
n95 g173
n398 g1259
n103 g839
n234 g176
n2[3] n2[3]
n21 g2793
n2564 g873
n2560 g2163
n262 g1289
n2363 g177
n2107 g273
n615 g179
n2[13] n2[13]
n859 g180
n419 g181
n721 g476
n1861 g529
n1224 g382
n1659 g269
n1827 g2864
n381 g486
n2682 g1705
n1548 g477
n349 g608
n2306 g2654
n2[79] n2[79]
n1784 g190
n1621 g1208
n2110 g2823
n2745 g944
n1029 g1433
n1296 g814
n2094 g2053
n336 g301
n576 g68
n1524 g586
n233 g192
n2247 g2112
n1660 g889
n1004 g380
n2707 g482
n1862 g527
n1413 g1384
n1781 g40
n2440 g2380
n5[20] g230
n2000 g260
n2571 g772
n637 g1740
n2017 g1973
n2091 g867
n1081 g182
n2660 g202
n2534 g401
n1382 g820
n1972 g2110
n5[54] g865
n1937 g2143
n1627 g1422
n1823 g752
n327 g203
n1073 g606
n577 g849
n1687 g208
n2431 g883
n538 g145
n875 g165
n4[27] g941
n2385 g1106
n1664 g357
n974 g789
n152 g746
n2[44] n2[44]
n833 g2033
n297 g2534
n2815 g783
n1552 g210
n8[7] g1202
n1355 g1007
n1455 g212
n1960 g196
n2172 g1797
n2[61] n2[61]
n2099 g213
n9[11] g1397
n873 g1616
n2[92] n2[92]
n2654 g1721
n27 g1038
n111 g216
n1361 g241
n1607 g2943
n1129 g858
n1440 g2658
n2746 g652
n2491 g2676
