n303 g502
n13[2] g141
n390 g140
n134 g139
n323 g138
n4[11] g137
n290 g136
n154 g135
n77 g147
n57 g134
n168 g133
n8[43] g132
n13[3] g131
n14[7] g130
n48 g129
n201 g128
n346 g127
n41 g125
n230 g124
n31 g123
n247 g122
n213 g121
n173 g120
n109 g466
n371 g119
n214 g118
n4[1] g117
n11[2] g116
n243 g115
n6[15] g114
n51 g113
n94 g112
n185 g111
n315 g110
n262 g109
n219 g108
n90 g107
n332 g106
n35 g257
n99 g126
n376 g105
n112 g104
n133 g103
n385 g102
n265 g101
n72 g100
n337 g99
n69 g98
n52 g97
n255 g96
n359 g95
n4[13] g94
n193 g93
n91 g91
n217 g90
n317 g89
n195 g88
n11[3] g87
n339 g86
n311 g85
n4[15] g84
n153 g83
n13[4] g82
n156 g81
n13[0] g80
n5[7] g79
n115 g78
n194 g350
n8[38] g77
n361 g76
n296 g75
n45 g74
n14[12] g73
n364 g404
n344 g72
n232 g71
n256 g70
n204 g69
n380 g68
n4[9] g67
n14[8] g66
n5[2] g65
n163 g64
n24 g63
n157 g62
n274 g61
n11[4] g60
n55 g59
n215 g58
n259 g57
n14[3] g56
n81 g55
n11[11] g53
n266 g52
n295 g51
n8[34] g50
n87 g49
n383 g48
n170 g47
n269 g46
n338 g45
n182 g44
n108 g43
n12[7] g42
n351 g41
n277 g40
n96 g39
n368 g38
n13[10] g37
n225 g36
n179 g35
n5[6] g34
n238 g33
n180 g32
n135 g31
n363 g30
n14[11] g29
n224 g28
n316 g27
n4[12] g26
n324 g25
n155 g24
n5[5] g469
n248 g23
n207 g22
n356 g21
n171 g20
n281 g19
n139 g156
n8[40] g18
n92 g17
n166 g16
n355 g15
n9[3] g14
n125 g13
n353 g92
n6[10] g12
n264 g399
n379 g11
n104 g10
n11[6] g9
n121 g8
n39 g7
n27 g6
n6[7] g5
n209 g4
n13[12] g3
n350 g2
n18 g1
n106 g0
n3[3] n3[3]
n3[2] n3[2]
n3[1] n3[1]
n3[0] n3[0]
n2[31] n2[31]
n2[30] n2[30]
n2[29] n2[29]
n2[28] n2[28]
n2[27] n2[27]
n2[26] n2[26]
n2[25] n2[25]
n2[24] n2[24]
n2[23] n2[23]
n2[22] n2[22]
n2[21] n2[21]
n2[20] n2[20]
n2[19] n2[19]
n2[18] n2[18]
n2[17] n2[17]
n2[16] n2[16]
n2[15] n2[15]
n2[14] n2[14]
n2[13] n2[13]
n2[12] n2[12]
n2[11] n2[11]
n2[10] n2[10]
n2[9] n2[9]
n2[8] n2[8]
n2[7] n2[7]
n2[6] n2[6]
n2[5] n2[5]
n2[4] n2[4]
n2[3] n2[3]
n2[2] n2[2]
n2[1] n2[1]
n2[0] n2[0]
n19 g419
n8[42] g54
n1 n1
n0 n0
